Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7569  2.0722    -9.1275 -2.6621
      1  -4.2741  1.2489    -6.3044 -2.5115
      2  -3.1991  0.7280    -4.2146 -2.4011
      3  -3.6025  0.5524    -4.3188 -3.1501
      4  -3.8891  0.4809    -4.4885 -3.6286
      5  -4.0470  0.4797    -4.7340 -3.8020
      6  -3.9582  0.3054    -4.2348 -3.7862
      7  -3.9536  0.2443    -4.2335 -3.8001
      8  -3.9515  0.2039    -4.2327 -3.8112
      9  -3.9421  0.1488    -4.2297 -3.8117
     10  -3.9425  0.1302    -4.2294 -3.8198
     11  -3.9384  0.1099    -4.2269 -3.8199
     12  -3.9372  0.1015    -4.2260 -3.8204
     13  -3.9359  0.0961    -4.2249 -3.8208
     14  -3.9355  0.0934    -4.2244 -3.8213
     15  -3.9360  0.0913    -4.2245 -3.8241
     16  -3.9363  0.0901    -4.2245 -3.8259
     17  -3.9359  0.0889    -4.2240 -3.8262
     18  -3.9363  0.0880    -4.2240 -3.8281
     19  -3.9367  0.0870    -4.2240 -3.8307
     20  -3.9371  0.0863    -4.2240 -3.8326
     21  -3.9368  0.0858    -4.2238 -3.8327
     22  -3.9370  0.0854    -4.2238 -3.8336
     23  -3.9367  0.0849    -4.2235 -3.8337
     24  -3.9366  0.0846    -4.2234 -3.8338
     25  -3.9365  0.0842    -4.2232 -3.8339
     26  -3.9364  0.0840    -4.2231 -3.8340
     27  -3.9365  0.0838    -4.2231 -3.8348
     28  -3.9365  0.0836    -4.2230 -3.8349
     29  -3.9363  0.0833    -4.2229 -3.8350
     30  -3.9363  0.0832    -4.2228 -3.8351
     31  -3.9367  0.0825    -4.2229 -3.8374
     32  -3.9370  0.0818    -4.2229 -3.8394
     33  -3.7162  0.1534    -4.1745 -3.5458
     34  -3.7968  0.1520    -4.2078 -3.6970
     35  -3.8000  0.1509    -4.2084 -3.6988
     36  -3.7979  0.1502    -4.2075 -3.6985
     37  -3.8024  0.1489    -4.2084 -3.7008
     38  -3.8056  0.1480    -4.2090 -3.7023
     39  -3.8017  0.1470    -4.2075 -3.7017
     40  -3.8000  0.1466    -4.2068 -3.7014
     41  -3.7965  0.1458    -4.2055 -3.7009

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1019  0.0586     0.0072  0.1899
      1   0.1022  0.0585     0.0077  0.1899
      2   0.1022  0.0585     0.0077  0.1899
      3   0.1023  0.0586     0.0076  0.1899
      4   0.1019  0.0588     0.0069  0.1899
      5   0.0996  0.0590     0.0061  0.1894
      6   0.1123  0.0555     0.0146  0.1913
      7   0.1136  0.0545     0.0181  0.1914
      8   0.1148  0.0538     0.0209  0.1915
      9   0.1162  0.0528     0.0244  0.1916
     10   0.1169  0.0523     0.0262  0.1917
     11   0.1184  0.0513     0.0293  0.1918
     12   0.1190  0.0509     0.0306  0.1918
     13   0.1199  0.0504     0.0325  0.1919
     14   0.1203  0.0501     0.0335  0.1920
     15   0.1205  0.0499     0.0341  0.1920
     16   0.1206  0.0498     0.0345  0.1920
     17   0.1211  0.0495     0.0354  0.1920
     18   0.1212  0.0494     0.0357  0.1920
     19   0.1214  0.0493     0.0362  0.1921
     20   0.1216  0.0492     0.0365  0.1921
     21   0.1218  0.0490     0.0371  0.1921
     22   0.1219  0.0490     0.0373  0.1921
     23   0.1222  0.0488     0.0380  0.1921
     24   0.1224  0.0486     0.0383  0.1922
     25   0.1227  0.0485     0.0389  0.1922
     26   0.1228  0.0484     0.0393  0.1922
     27   0.1229  0.0483     0.0394  0.1922
     28   0.1231  0.0482     0.0398  0.1922
     29   0.1233  0.0481     0.0403  0.1922
     30   0.1234  0.0480     0.0405  0.1922
     31   0.1235  0.0479     0.0409  0.1923
     32   0.1237  0.0478     0.0413  0.1923
     33   0.0313  0.0104     0.0142  0.0473
     34   0.0297  0.0095     0.0136  0.0442
     35   0.0299  0.0095     0.0140  0.0445
     36   0.0301  0.0095     0.0141  0.0447
     37   0.0305  0.0095     0.0143  0.0450
     38   0.0307  0.0095     0.0144  0.0452
     39   0.0310  0.0095     0.0146  0.0455
     40   0.0312  0.0095     0.0147  0.0457
     41   0.0315  0.0095     0.0148  0.0460

