  0 1406 790.00  0.00 800.00  1.00  1
  1  791 440.00  0.00 800.00 520.00  0
  2  753 420.00  0.00 800.00 156.00  0
  3  859 480.00  0.00 800.00 52.00  0
  4  661 370.00  0.00 800.00 52.00  0
  5  785 440.00  0.00 800.00 21.50  0
  6  783 440.00  0.00 800.00 12.90  1
  7  695 390.00  0.00 800.00 21.50  1
  8  750 420.00  0.00 800.00 26.00  0
  9  677 380.00  0.00 800.00 21.50  1
 10  750 440.00  0.00 800.00 21.50  0
 11  677 390.00  0.00 800.00 17.20  1
 12  677 380.00  0.00 800.00 17.20  1
 13  766 430.00  0.00 800.00 17.20  0
 14  695 390.00  0.00 800.00 21.50  1
 15  677 380.00  0.00 800.00 21.50  1
 16  786 440.00  0.00 800.00 26.00  0
 17  748 420.00  0.00 800.00 17.20  0
 18  677 380.00  0.00 800.00 21.50  0
 19  713 400.00  0.00 800.00 21.50  0
