  0 1391 780.00  0.00 800.00  4.30  0
  1  694 390.00  0.00 800.00 17.20  1
  2  608 340.00  0.00 800.00 104.00  1
  3  754 420.00  0.00 800.00 260.00  1
  4  953 530.00  0.00 800.00 520.00  0
  5  701 390.00  0.00 800.00 520.00  0
  6  844 470.00  0.00 800.00 260.00  0
  7  736 410.00  0.00 800.00 260.00  1
  8  611 340.00  0.00 800.00 520.00  1
  9  611 350.00  0.00 800.00 260.00  1
 10  611 360.00  0.00 800.00 260.00  1
 11  611 340.00  0.00 800.00 260.00  1
 12  611 350.00  0.00 800.00 260.00  1
 13  611 350.00  0.00 800.00 260.00  1
 14  611 350.00  0.00 800.00 260.00  1
 15  611 320.00  0.00 800.00 260.00  1
 16  611 340.00  0.00 800.00 260.00  1
 17  611 340.00  0.00 800.00 260.00  1
 18  611 350.00  0.00 800.00 260.00  1
 19  611 320.00  0.00 800.00 260.00  1
