Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.3514  1.3164    -6.4264 -2.5177
      1  -5.4246  0.7889    -6.6383 -4.5497
      2  -4.9344  0.5649    -5.6178 -4.4655
      3  -4.6553  0.5023    -5.2408 -4.2708
      4  -4.8250  0.4303    -5.3126 -4.6017
      5  -4.8314  0.3265    -5.2951 -4.7167
      6  -4.8145  0.2440    -5.2550 -4.7279
      7  -4.8067  0.1929    -5.2322 -4.7353
      8  -4.8014  0.1596    -5.2119 -4.7401
      9  -4.8128  0.1268    -5.2155 -4.7974
     10  -4.8111  0.1133    -5.2087 -4.7975
     11  -4.8135  0.1026    -5.2090 -4.7998
     12  -4.8127  0.0977    -5.2052 -4.7998
     13  -4.8149  0.0924    -5.2062 -4.8020
     14  -4.8143  0.0903    -5.2032 -4.8020
     15  -4.8135  0.0883    -5.1988 -4.8019
     16  -4.8129  0.0871    -5.1959 -4.8019
     17  -4.8161  0.0843    -5.2018 -4.8042
     18  -4.8173  0.0847    -5.2062 -4.8046
     19  -4.8169  0.0839    -5.2040 -4.8046
     20  -4.8164  0.0830    -5.2012 -4.8046
     21  -4.8164  0.0829    -5.2013 -4.8046
     22  -4.8173  0.0838    -5.2052 -4.8047
     23  -4.8174  0.0839    -5.2057 -4.8047
     24  -4.8170  0.0834    -5.2041 -4.8047
     25  -4.8161  0.0819    -5.1992 -4.8047
     26  -4.8156  0.0811    -5.1962 -4.8046
     27  -4.8151  0.0804    -5.1934 -4.8046
     28  -4.8149  0.0801    -5.1923 -4.8046
     29  -4.8156  0.0810    -5.1963 -4.8046
     30  -4.8156  0.0811    -5.1965 -4.8046
     31  -4.8154  0.0808    -5.1955 -4.8046
     32  -4.8154  0.0808    -5.1955 -4.8046
     33  -4.8161  0.0817    -5.1991 -4.8047
     34  -4.8161  0.0818    -5.1992 -4.8047
     35  -4.8167  0.0826    -5.2024 -4.8047
     36  -4.8167  0.0826    -5.2025 -4.8047
     37  -4.8173  0.0834    -5.2054 -4.8047
     38  -4.8174  0.0835    -5.2056 -4.8047
     39  -4.8171  0.0831    -5.2044 -4.8047
     40  -4.8171  0.0831    -5.2044 -4.8047
     41  -4.8165  0.0822    -5.2012 -4.8047

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1000  0.0595     0.0043  0.1896
      1   0.0990  0.0599     0.0036  0.1895
      2   0.1010  0.0595     0.0044  0.1899
      3   0.0999  0.0596     0.0043  0.1896
      4   0.1013  0.0584     0.0057  0.1895
      5   0.1067  0.0562     0.0127  0.1902
      6   0.1095  0.0546     0.0184  0.1905
      7   0.1112  0.0536     0.0221  0.1907
      8   0.1128  0.0527     0.0250  0.1909
      9   0.1163  0.0514     0.0294  0.1914
     10   0.1169  0.0510     0.0307  0.1914
     11   0.1182  0.0503     0.0329  0.1916
     12   0.1186  0.0501     0.0338  0.1916
     13   0.1199  0.0494     0.0357  0.1918
     14   0.1201  0.0493     0.0363  0.1918
     15   0.1205  0.0490     0.0370  0.1918
     16   0.1207  0.0489     0.0375  0.1918
     17   0.1236  0.0480     0.0404  0.1923
     18   0.1260  0.0472     0.0429  0.1926
     19   0.1262  0.0471     0.0433  0.1926
     20   0.1264  0.0469     0.0438  0.1926
     21   0.1268  0.0467     0.0445  0.1927
     22   0.1287  0.0460     0.0466  0.1930
     23   0.1294  0.0457     0.0478  0.1930
     24   0.1295  0.0456     0.0482  0.1930
     25   0.1299  0.0453     0.0490  0.1931
     26   0.1301  0.0452     0.0495  0.1931
     27   0.1303  0.0450     0.0500  0.1931
     28   0.1304  0.0450     0.0502  0.1931
     29   0.1320  0.0444     0.0519  0.1933
     30   0.1323  0.0442     0.0525  0.1934
     31   0.1324  0.0442     0.0528  0.1934
     32   0.1326  0.0440     0.0532  0.1934
     33   0.1340  0.0436     0.0548  0.1936
     34   0.1343  0.0434     0.0553  0.1936
     35   0.1355  0.0430     0.0566  0.1938
     36   0.1358  0.0428     0.0569  0.1938
     37   0.1369  0.0425     0.0581  0.1939
     38   0.1372  0.0423     0.0586  0.1940
     39   0.1373  0.0422     0.0589  0.1940
     40   0.1374  0.0421     0.0592  0.1940
     41   0.1376  0.0420     0.0598  0.1940

