Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.0628  2.8923    -8.9237 -0.2184
      1  -3.6576  2.9290    -8.8384 -0.1588
      2  -3.1061  2.8980    -8.6800 -0.1162
      3  -2.4712  2.7348    -8.3789 -0.0894
      4  -1.8614  2.4224    -7.8008 -0.0739
      5  -1.3936  2.0359    -6.7378 -0.0654
      6  -1.0841  1.6658    -5.1866 -0.0609
      7  -2.0327  2.0229    -6.9071 -0.1900
      8  -1.7773  1.7511    -5.8521 -0.1794
      9  -2.9003  1.9607    -7.0344 -0.5609
     10  -2.2799  1.6662    -6.0413 -0.4519
     11  -2.1209  1.4415    -4.9673 -0.4520
     12  -2.7558  1.4562    -5.7407 -1.0043
     13  -2.3474  1.2607    -4.5080 -0.8589
     14  -2.2674  1.0950    -4.0352 -0.8755
     15  -1.9516  1.0007    -3.3850 -0.6863
     16  -2.2259  0.9292    -3.5874 -1.1317
     17  -1.9778  0.9130    -3.1724 -0.9193
     18  -2.1436  0.8325    -3.2894 -1.2331
     19  -2.3749  0.8513    -3.5451 -1.5114

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0017  0.0050     0.0000  0.0074
      1   0.0028  0.0063     0.0000  0.0123
      2   0.0045  0.0075     0.0000  0.0163
      3   0.0064  0.0083     0.0000  0.0194
      4   0.0082  0.0086     0.0000  0.0214
      5   0.0096  0.0086     0.0000  0.0233
      6   0.0106  0.0085     0.0000  0.0243
      7   0.0064  0.0039     0.0000  0.0107
      8   0.0071  0.0035     0.0000  0.0111
      9   0.0059  0.0030     0.0000  0.0068
     10   0.0063  0.0029     0.0000  0.0069
     11   0.0067  0.0024     0.0001  0.0069
     12   0.0065  0.0024     0.0001  0.0068
     13   0.0067  0.0024     0.0001  0.0069
     14   0.0070  0.0020     0.0002  0.0069
     15   0.0070  0.0020     0.0002  0.0069
     16   0.0071  0.0021     0.0002  0.0070
     17   0.0071  0.0020     0.0002  0.0070
     18   0.0072  0.0021     0.0002  0.0078
     19   0.0071  0.0021     0.0002  0.0070

