trialNum, leftMoney, leftTime, rightMoney, rightTime
5.0, 800, 26.0, 400, 0
6.0, 800, 26.0, 200, 0
7.0, 800, 26.0, 100, 0
8.0, 800, 26.0, 50, 0
9.0, 800, 26.0, 25, 0
10.0, 800, 26.0, 12, 0
11.0, 400, 0.0, 800, 520
12.0, 200, 0.0, 800, 520
13.0, 100, 0.0, 800, 520
14.0, 50, 0.0, 800, 520
15.0, 25, 0.0, 800, 520
16.0, 12, 0.0, 800, 520
17.0, 800, 4.0, 400, 0
18.0, 800, 4.0, 600, 0
19.0, 800, 4.0, 700, 0
20.0, 800, 4.0, 650, 0
21.0, 800, 4.0, 625, 0
22.0, 800, 4.0, 612, 0
23.0, 800, 52.0, 400, 0
24.0, 800, 52.0, 200, 0
25.0, 800, 52.0, 100, 0
26.0, 800, 52.0, 50, 0
27.0, 800, 52.0, 25, 0
28.0, 800, 52.0, 12, 0
29.0, 400, 0.0, 800, 2
30.0, 200, 0.0, 800, 2
31.0, 100, 0.0, 800, 2
32.0, 50, 0.0, 800, 2
33.0, 25, 0.0, 800, 2
34.0, 12, 0.0, 800, 2
35.0, 400, 0.0, 800, 1
36.0, 200, 0.0, 800, 1
37.0, 100, 0.0, 800, 1
38.0, 50, 0.0, 800, 1
39.0, 25, 0.0, 800, 1
40.0, 12, 0.0, 800, 1
41.0, 800, 156.0, 400, 0
42.0, 800, 156.0, 200, 0
43.0, 800, 156.0, 100, 0
44.0, 800, 156.0, 50, 0
45.0, 800, 156.0, 25, 0
46.0, 800, 156.0, 12, 0
