trialNum, leftMoney, leftTime, rightMoney, rightTime
5.0, 400, 0.0, 800, 156
6.0, 200, 0.0, 800, 156
7.0, 100, 0.0, 800, 156
8.0, 50, 0.0, 800, 156
9.0, 25, 0.0, 800, 156
10.0, 37, 0.0, 800, 156
11.0, 400, 0.0, 800, 2
12.0, 200, 0.0, 800, 2
13.0, 100, 0.0, 800, 2
14.0, 150, 0.0, 800, 2
15.0, 175, 0.0, 800, 2
16.0, 187, 0.0, 800, 2
17.0, 400, 0.0, 800, 26
18.0, 200, 0.0, 800, 26
19.0, 100, 0.0, 800, 26
20.0, 50, 0.0, 800, 26
21.0, 25, 0.0, 800, 26
22.0, 37, 0.0, 800, 26
23.0, 800, 52.0, 400, 0
24.0, 800, 52.0, 200, 0
25.0, 800, 52.0, 100, 0
26.0, 800, 52.0, 50, 0
27.0, 800, 52.0, 25, 0
28.0, 800, 52.0, 37, 0
29.0, 400, 0.0, 800, 520
30.0, 200, 0.0, 800, 520
31.0, 100, 0.0, 800, 520
32.0, 50, 0.0, 800, 520
33.0, 25, 0.0, 800, 520
34.0, 12, 0.0, 800, 520
35.0, 800, 4.0, 400, 0
36.0, 800, 4.0, 200, 0
37.0, 800, 4.0, 100, 0
38.0, 800, 4.0, 150, 0
39.0, 800, 4.0, 175, 0
40.0, 800, 4.0, 187, 0
41.0, 400, 0.0, 800, 1
42.0, 600, 0.0, 800, 1
43.0, 500, 0.0, 800, 1
44.0, 450, 0.0, 800, 1
45.0, 475, 0.0, 800, 1
46.0, 487, 0.0, 800, 1
