trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1238 690.00  0.00 800.00 104.00  0
  1  695 390.00  0.00 800.00 21.50  0
  2  707 400.00  0.00 800.00  4.30  1
  3  745 420.00  0.00 800.00  8.60  0
  4  654 370.00  0.00 800.00  6.44  0
  5  689 390.00  0.00 800.00  4.30  1
  6  672 380.00  0.00 800.00  6.44  0
  7  689 400.00  0.00 800.00  6.44  0
  8  689 390.00  0.00 800.00  6.44  1
  9  672 380.00  0.00 800.00  6.44  1
 10 1417 790.00  0.00 800.00 52.00  0
 11  636 360.00  0.00 800.00  6.44  0
 12  634 360.00  0.00 800.00  3.00  0
 13 1419 790.00  0.00 800.00 156.00  0
 14 1419 790.00  0.00 800.00 104.00  0
 15 1420 790.00  0.00 800.00 260.00  0
 16  544 310.00  0.00 800.00  3.00  1
 17  526 300.00  0.00 800.00  3.00  1
 18  562 320.00  0.00 800.00  3.00  1
 19  870 490.00  0.00 800.00  6.44  0
