  0 1374 770.00  0.00 800.00  6.44  1
  1  971 540.00  0.00 800.00 520.00  0
  2  844 470.00  0.00 800.00 260.00  0
  3  664 370.00  0.00 800.00 260.00  0
  4  735 410.00  0.00 800.00 156.00  0
  5  788 440.00  0.00 800.00 104.00  0
  6  859 480.00  0.00 800.00 52.00  0
  7  661 370.00  0.00 800.00 52.00  0
  8  695 390.00  0.00 800.00 21.50  0
  9  638 360.00  0.00 800.00 10.80  1
 10  621 350.00  0.00 800.00 12.90  1
 11  694 390.00  0.00 800.00 17.20  1
 12  714 400.00  0.00 800.00 26.00  0
 13  586 330.00  0.00 800.00 17.20  1
 14  840 470.00  0.00 800.00 26.00  0
 15  604 340.00  0.00 800.00 17.20  1
 16  804 450.00  0.00 800.00 26.00  0
 17  767 430.00  0.00 800.00 21.50  1
 18  569 320.00  0.00 800.00 21.50  1
 19  840 470.00  0.00 800.00 26.00  0
