trialNum, leftMoney, leftTime, rightMoney, rightTime
5.0, 800, 2.0, 400, 0
6.0, 800, 2.0, 600, 0
7.0, 800, 2.0, 700, 0
8.0, 800, 2.0, 650, 0
9.0, 800, 2.0, 675, 0
10.0, 800, 2.0, 687, 0
11.0, 400, 0.0, 800, 1
12.0, 600, 0.0, 800, 1
13.0, 700, 0.0, 800, 1
14.0, 650, 0.0, 800, 1
15.0, 675, 0.0, 800, 1
16.0, 687, 0.0, 800, 1
17.0, 400, 0.0, 800, 52
18.0, 200, 0.0, 800, 52
19.0, 100, 0.0, 800, 52
20.0, 50, 0.0, 800, 52
21.0, 75, 0.0, 800, 52
22.0, 87, 0.0, 800, 52
23.0, 400, 0.0, 800, 156
24.0, 200, 0.0, 800, 156
25.0, 100, 0.0, 800, 156
26.0, 50, 0.0, 800, 156
27.0, 75, 0.0, 800, 156
28.0, 87, 0.0, 800, 156
29.0, 800, 520.0, 400, 0
30.0, 800, 520.0, 200, 0
31.0, 800, 520.0, 100, 0
32.0, 800, 520.0, 50, 0
33.0, 800, 520.0, 75, 0
34.0, 800, 520.0, 87, 0
35.0, 400, 0.0, 800, 4
36.0, 600, 0.0, 800, 4
37.0, 700, 0.0, 800, 4
38.0, 650, 0.0, 800, 4
39.0, 675, 0.0, 800, 4
40.0, 687, 0.0, 800, 4
41.0, 400, 0.0, 800, 26
42.0, 200, 0.0, 800, 26
43.0, 100, 0.0, 800, 26
44.0, 50, 0.0, 800, 26
45.0, 75, 0.0, 800, 26
46.0, 87, 0.0, 800, 26
