Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6171  1.4717    -6.9674 -2.5436
      1  -3.4827  0.8853    -4.7505 -2.4290
      2  -2.9312  0.6722    -3.6786 -2.3721
      3  -3.3302  0.6027    -3.9308 -2.9568
      4  -3.5001  0.5879    -4.1640 -3.2230
      5  -3.4224  0.4268    -3.6938 -3.2198
      6  -3.3981  0.3137    -3.6787 -3.2252
      7  -3.3995  0.2339    -3.6777 -3.2746
      8  -3.3479  0.8639    -4.3750 -2.8806
      9  -3.6801  1.6220    -8.0496 -2.5061
     10  -3.3848  1.3035    -7.0066 -2.4953
     11  -3.1986  1.0127    -5.0556 -2.4892
     12  -3.0923  0.7820    -3.9439 -2.4861
     13  -3.1037  0.6553    -3.8778 -2.5908
     14  -3.1193  0.5489    -3.8442 -2.6673
     15  -3.0612  0.4532    -3.6635 -2.6559
     16  -3.0880  0.3854    -3.6644 -2.7655
     17  -3.0490  0.3254    -3.6022 -2.7509
     18  -2.9409  0.4152    -3.5230 -2.5999
     19  -2.9595  0.3534    -3.5245 -2.6466
     20  -2.9193  0.3066    -3.4006 -2.6341
     21  -2.8389  0.3518    -3.3688 -2.5632
     22  -2.8524  0.2995    -3.3693 -2.6000
     23  -2.8691  0.2613    -3.3721 -2.6269
     24  -2.8488  0.2282    -3.3449 -2.6233
     25  -2.8651  0.2049    -3.3497 -2.6511
     26  -2.8470  0.1843    -3.3189 -2.6451
     27  -2.8619  0.1686    -3.3257 -2.6764
     28  -2.8466  0.1542    -3.2880 -2.6681
     29  -2.8600  0.1422    -3.2977 -2.7071
     30  -2.8508  0.1324    -3.2629 -2.7011
     31  -2.7969  0.1593    -3.1469 -2.6219
     32  -2.8149  0.1467    -3.1726 -2.6404
     33  -2.8249  0.1372    -3.1825 -2.6559
     34  -2.8302  0.1310    -3.1854 -2.6668
     35  -2.8451  0.1203    -3.2106 -2.7062
     36  -2.8367  0.1142    -3.1313 -2.6958
     37  -2.7935  0.1393    -3.1244 -2.6303
     38  -2.7487  0.1509    -3.1166 -2.6094
     39  -2.7123  0.1505    -3.1082 -2.6011
     40  -2.7650  0.1464    -3.1178 -2.6153
     41  -2.7938  0.1344    -3.1212 -2.6326

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1000  0.0594     0.0049  0.1896
      1   0.1012  0.0591     0.0056  0.1898
      2   0.1022  0.0588     0.0068  0.1900
      3   0.0995  0.0599     0.0043  0.1896
      4   0.0994  0.0604     0.0037  0.1898
      5   0.1105  0.0570     0.0105  0.1913
      6   0.1134  0.0551     0.0167  0.1915
      7   0.1169  0.0531     0.0235  0.1918
      8   0.0350  0.0273     0.0001  0.0845
      9   0.0110  0.0103     0.0000  0.0273
     10   0.0126  0.0101     0.0000  0.0286
     11   0.0137  0.0098     0.0001  0.0295
     12   0.0143  0.0096     0.0002  0.0300
     13   0.0158  0.0100     0.0005  0.0321
     14   0.0171  0.0104     0.0009  0.0336
     15   0.0185  0.0106     0.0013  0.0349
     16   0.0199  0.0108     0.0017  0.0371
     17   0.0212  0.0110     0.0023  0.0387
     18   0.0167  0.0087     0.0012  0.0298
     19   0.0177  0.0088     0.0016  0.0312
     20   0.0188  0.0091     0.0020  0.0325
     21   0.0165  0.0081     0.0014  0.0277
     22   0.0174  0.0081     0.0018  0.0290
     23   0.0183  0.0082     0.0022  0.0303
     24   0.0191  0.0083     0.0028  0.0313
     25   0.0200  0.0083     0.0036  0.0322
     26   0.0208  0.0084     0.0046  0.0330
     27   0.0216  0.0084     0.0061  0.0336
     28   0.0225  0.0085     0.0072  0.0342
     29   0.0233  0.0085     0.0075  0.0350
     30   0.0239  0.0085     0.0079  0.0360
     31   0.0204  0.0073     0.0064  0.0307
     32   0.0211  0.0073     0.0072  0.0315
     33   0.0217  0.0073     0.0075  0.0320
     34   0.0221  0.0073     0.0077  0.0323
     35   0.0227  0.0073     0.0080  0.0328
     36   0.0233  0.0073     0.0083  0.0333
     37   0.0209  0.0067     0.0075  0.0297
     38   0.0204  0.0067     0.0073  0.0292
     39   0.0208  0.0070     0.0074  0.0306
     40   0.0197  0.0063     0.0072  0.0273
     41   0.0199  0.0063     0.0073  0.0274

