  0 1316 740.00  0.00 800.00  1.00  1
  1  844 470.00  0.00 800.00 260.00  0
  2  769 430.00  0.00 800.00 52.00  1
  3  663 370.00  0.00 800.00 156.00  0
  4  698 390.00  0.00 800.00 104.00  0
  5  608 340.00  0.00 800.00 104.00  0
  6  751 420.00  0.00 800.00 52.00  1
  7  859 480.00  0.00 800.00 52.00  1
  8  608 340.00  0.00 800.00 104.00  0
  9  626 350.00  0.00 800.00 104.00  0
 10  697 390.00  0.00 800.00 52.00  1
 11  626 330.00  0.00 800.00 52.00  1
 12  626 340.00  0.00 800.00 52.00  1
 13  626 360.00  0.00 800.00 52.00  1
 14  626 360.00  0.00 800.00 52.00  1
 15  626 350.00  0.00 800.00 52.00  1
 16  626 370.00  0.00 800.00 52.00  1
 17  626 370.00  0.00 800.00 156.00  0
 18  626 360.00  0.00 800.00 52.00  1
 19  626 350.00  0.00 800.00 52.00  1
