trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  562 320.00  0.00 800.00  3.00  1
  1  647 360.00  0.00 800.00 520.00  1
  2 1097 610.00  0.00 800.00 520.00  1
  3 1259 700.00  0.00 800.00 520.00  1
  4 1313 730.00  0.00 800.00 520.00  0
  5 1295 720.00  0.00 800.00 520.00  0
  6 1259 700.00  0.00 800.00 520.00  0
  7 1187 660.00  0.00 800.00 520.00  0
  8 1079 600.00  0.00 800.00 520.00  0
  9   13  10.00  0.00 800.00 52.00  1
 10  863 480.00  0.00 800.00 520.00  1
 11  881 490.00  0.00 800.00 520.00  0
 12   11  10.00  0.00 800.00 21.50  1
 13    8  10.00  0.00 800.00 10.80  1
 14  737 410.00  0.00 800.00 520.00  1
 15  773 430.00  0.00 800.00 520.00  1
 16  791 440.00  0.00 800.00 520.00  1
 17 1295 720.00  0.00 800.00 520.00  1
 18 1421 790.00  0.00 800.00 520.00  0
 19 1403 780.00  0.00 800.00 520.00  0
 20 1403 760.00  0.00 800.00 260.00  1
 21  827 460.00  0.00 800.00 520.00  0
 22    9  10.00  0.00 800.00 12.90  1
 23  773 430.00  0.00 800.00 520.00  1
 24 1367 760.00  0.00 800.00 520.00  1
 25    6  10.00  0.00 800.00  6.44  1
 26 1349 750.00  0.00 800.00 520.00  1
 27    9  10.00  0.00 800.00 12.90  1
 28 1115 620.00  0.00 800.00 520.00  1
 29    9  30.00  0.00 800.00 10.80  1
 30  989 550.00  0.00 800.00 520.00  1
 31 1403 780.00  0.00 800.00 520.00  1
 32 1421 790.00  0.00 800.00 520.00  0
 33 1097 610.00  0.00 800.00 520.00  0
 34 1061 590.00  0.00 800.00 520.00  0
 35 1295 720.00  0.00 800.00 520.00  0
 36 1241 690.00  0.00 800.00 520.00  0
 37 1277 710.00  0.00 800.00 520.00  0
 38 1295 720.00  0.00 800.00 520.00  0
 39 1133 630.00  0.00 800.00 520.00  0
 40  917 510.00  0.00 800.00 520.00  1
 41  953 530.00  0.00 800.00 520.00  0
