trialNum, leftMoney, leftTime, rightMoney, rightTime
5.0, 800, 1.0, 400, 0
6.0, 800, 1.0, 600, 0
7.0, 800, 1.0, 700, 0
8.0, 800, 1.0, 650, 0
9.0, 800, 1.0, 675, 0
10.0, 800, 1.0, 687, 0
11.0, 800, 4.0, 400, 0
12.0, 800, 4.0, 200, 0
13.0, 800, 4.0, 300, 0
14.0, 800, 4.0, 350, 0
15.0, 800, 4.0, 375, 0
16.0, 800, 4.0, 387, 0
17.0, 800, 26.0, 400, 0
18.0, 800, 26.0, 200, 0
19.0, 800, 26.0, 300, 0
20.0, 800, 26.0, 250, 0
21.0, 800, 26.0, 275, 0
22.0, 800, 26.0, 287, 0
23.0, 400, 0.0, 800, 52
24.0, 200, 0.0, 800, 52
25.0, 100, 0.0, 800, 52
26.0, 50, 0.0, 800, 52
27.0, 75, 0.0, 800, 52
28.0, 87, 0.0, 800, 52
29.0, 400, 0.0, 800, 2
30.0, 200, 0.0, 800, 2
31.0, 300, 0.0, 800, 2
32.0, 350, 0.0, 800, 2
33.0, 375, 0.0, 800, 2
34.0, 387, 0.0, 800, 2
35.0, 800, 156.0, 400, 0
36.0, 800, 156.0, 200, 0
37.0, 800, 156.0, 100, 0
38.0, 800, 156.0, 50, 0
39.0, 800, 156.0, 75, 0
40.0, 800, 156.0, 87, 0
41.0, 400, 0.0, 800, 520
42.0, 200, 0.0, 800, 520
43.0, 100, 0.0, 800, 520
44.0, 50, 0.0, 800, 520
45.0, 25, 0.0, 800, 520
46.0, 12, 0.0, 800, 520
