Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7574  2.0720    -9.1276 -2.6625
      1  -4.0164  1.1227    -5.7982 -2.4848
      2  -4.9609  0.6646    -5.8874 -4.2651
      3  -4.5326  0.4857    -5.1840 -4.1441
      4  -4.3624  0.4105    -4.8322 -4.0408
      5  -4.2129  0.3970    -4.6795 -3.8982
      6  -3.9372  0.7277    -4.6399 -2.9308
      7  -4.0573  0.5546    -4.6024 -3.5753
      8  -3.9516  0.5218    -4.4680 -3.4436
      9  -3.9244  0.4223    -4.4194 -3.4749
     10  -3.9073  0.3537    -4.3607 -3.5032
     11  -3.9023  0.3053    -4.3269 -3.5380
     12  -3.9231  0.2353    -4.3267 -3.7011
     13  -3.9624  0.1643    -4.3490 -3.8858
     14  -3.9466  0.1381    -4.2310 -3.8791
     15  -3.9503  0.1141    -4.2310 -3.9134
     16  -3.9533  0.0976    -4.2310 -3.9514
     17  -3.9549  0.0887    -4.2310 -3.9612
     18  -3.9564  0.0822    -4.2310 -3.9624
     19  -3.9551  0.0775    -4.2295 -3.9627
     20  -3.9539  0.0733    -4.2280 -3.9629
     21  -3.9622  0.0556    -4.2288 -3.9704
     22  -3.9918  0.1000    -4.4037 -3.9725
     23  -3.9700  0.0702    -4.2363 -3.9712
     24  -3.9699  0.0692    -4.2361 -3.9713
     25  -3.9697  0.0683    -4.2359 -3.9713
     26  -3.9696  0.0677    -4.2357 -3.9714
     27  -3.9694  0.0669    -4.2354 -3.9714
     28  -3.9710  0.0640    -4.2357 -3.9727
     29  -3.9708  0.0635    -4.2354 -3.9727
     30  -3.9705  0.0628    -4.2352 -3.9727
     31  -3.9705  0.0625    -4.2351 -3.9728
     32  -3.9704  0.0623    -4.2350 -3.9728
     33  -3.9702  0.0617    -4.2347 -3.9728
     34  -3.9701  0.0613    -4.2346 -3.9728
     35  -3.9700  0.0610    -4.2345 -3.9728
     36  -3.9710  0.0596    -4.2347 -3.9735
     37  -3.9716  0.0588    -4.2349 -3.9740
     38  -3.9716  0.0587    -4.2349 -3.9740
     39  -3.9720  0.0583    -4.2350 -3.9743
     40  -3.9718  0.0580    -4.2348 -3.9743
     41  -3.9721  0.0578    -4.2350 -3.9745

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1017  0.0587     0.0068  0.1898
      1   0.1016  0.0588     0.0067  0.1898
      2   0.1010  0.0591     0.0057  0.1897
      3   0.1012  0.0588     0.0063  0.1897
      4   0.1037  0.0582     0.0079  0.1901
      5   0.1012  0.0586     0.0070  0.1897
      6   0.0403  0.0357     0.0003  0.1103
      7   0.0491  0.0373     0.0017  0.1204
      8   0.0519  0.0397     0.0020  0.1285
      9   0.0552  0.0397     0.0037  0.1313
     10   0.0586  0.0399     0.0053  0.1346
     11   0.0605  0.0397     0.0070  0.1360
     12   0.0623  0.0392     0.0095  0.1370
     13   0.0688  0.0391     0.0145  0.1427
     14   0.0731  0.0396     0.0162  0.1472
     15   0.0737  0.0394     0.0175  0.1474
     16   0.0743  0.0391     0.0189  0.1478
     17   0.0747  0.0389     0.0198  0.1479
     18   0.0751  0.0388     0.0208  0.1482
     19   0.0760  0.0386     0.0218  0.1487
     20   0.0770  0.0384     0.0228  0.1494
     21   0.0813  0.0384     0.0263  0.1531
     22   0.0567  0.0255     0.0193  0.1011
     23   0.0591  0.0260     0.0210  0.1043
     24   0.0592  0.0260     0.0211  0.1043
     25   0.0593  0.0259     0.0214  0.1044
     26   0.0594  0.0259     0.0215  0.1044
     27   0.0596  0.0258     0.0217  0.1045
     28   0.0605  0.0257     0.0227  0.1053
     29   0.0606  0.0256     0.0229  0.1054
     30   0.0607  0.0256     0.0232  0.1054
     31   0.0608  0.0256     0.0233  0.1055
     32   0.0608  0.0255     0.0234  0.1055
     33   0.0610  0.0255     0.0236  0.1056
     34   0.0611  0.0255     0.0237  0.1056
     35   0.0611  0.0254     0.0238  0.1057
     36   0.0619  0.0253     0.0248  0.1063
     37   0.0625  0.0253     0.0257  0.1068
     38   0.0626  0.0252     0.0258  0.1069
     39   0.0631  0.0252     0.0265  0.1072
     40   0.0631  0.0251     0.0267  0.1072
     41   0.0636  0.0251     0.0274  0.1076

