trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1378 770.00  0.00 800.00 17.20  0
  1  695 390.00  0.00 800.00 21.50  0
  2  707 400.00  0.00 800.00  4.30  0
  3  705 400.00  0.00 800.00  2.00  0
  4  597 340.00  0.00 800.00  2.00  1
  5  705 380.00  0.00 800.00  3.00  0
  6  597 320.00  0.00 800.00  3.00  1
  7  687 390.00  0.00 800.00  2.00  1
  8  669 380.00  0.00 800.00  2.00  1
  9  670 380.00  0.00 800.00  3.00  1
 10  725 410.00  0.00 800.00  4.30  0
 11  688 390.00  0.00 800.00  3.00  1
 12  815 460.00  0.00 800.00  4.30  1
 13 1419 790.00  0.00 800.00 156.00  0
 14 1420 790.00  0.00 800.00 260.00  0
 15 1420 780.00  0.00 800.00 520.00  0
 16 1420 780.00  0.00 800.00 520.00  0
 17  816 460.00  0.00 800.00  6.44  0
 18  887 500.00  0.00 800.00  4.30  0
 19  851 480.00  0.00 800.00  4.30  0
