Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.5999  1.6435    -9.2027 -4.2993
      1  -7.9100  1.0712    -4.7115 -6.8700
      2  -7.1586  0.8677    -8.1359 -6.6238
      3  -6.8668  0.7905    -7.5544 -6.3811
      4  -6.7053  0.7664    -7.2946 -6.0835
      5  -6.1924  1.2427    -7.2218 -3.6227
      6  -5.4837  1.5595    -7.2879 -2.0752
      7  -4.6505  1.8209    -7.8958 -1.1674
      8  -4.6867  1.5994    -7.1260 -1.6079
      9  -4.7122  1.4265    -6.7150 -2.0714
     10  -4.0746  1.4967    -6.4144 -1.3830
     11  -3.3284  1.8844    -7.4227 -0.5837
     12  -3.1643  1.6730    -6.1909 -0.6048
     13  -2.4872  1.8344    -6.6636 -0.3072
     14  -2.2869  1.5938    -5.1662 -0.2977
     15  -1.7126  1.5926    -4.9765 -0.1686
     16  -1.5556  1.3491    -3.8233 -0.1628
     17  -1.1555  1.2269    -3.0650 -0.1100
     18  -0.8779  1.1072    -2.4026 -0.0811
     19  -0.6848  0.9787    -1.9038 -0.0652

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1008  0.0592     0.0047  0.1897
      1   0.1013  0.0591     0.0051  0.1898
      2   0.0982  0.0604     0.0024  0.1895
      3   0.0993  0.0603     0.0021  0.1897
      4   0.0981  0.0604     0.0021  0.1894
      5   0.0395  0.0388     0.0000  0.1169
      6   0.0126  0.0121     0.0000  0.0333
      7   0.0057  0.0048     0.0000  0.0119
      8   0.0068  0.0045     0.0000  0.0124
      9   0.0075  0.0042     0.0000  0.0126
     10   0.0066  0.0033     0.0000  0.0096
     11   0.0053  0.0032     0.0000  0.0066
     12   0.0060  0.0027     0.0000  0.0067
     13   0.0057  0.0028     0.0000  0.0066
     14   0.0063  0.0022     0.0000  0.0066
     15   0.0062  0.0023     0.0000  0.0066
     16   0.0066  0.0017     0.0001  0.0066
     17   0.0066  0.0016     0.0001  0.0067
     18   0.0067  0.0015     0.0001  0.0067
     19   0.0068  0.0014     0.0002  0.0067

