  0 1177 660.00  0.00 800.00  8.60  1
  1  791 440.00  0.00 800.00 520.00  0
  2  753 420.00  0.00 800.00 156.00  0
  3  608 340.00  0.00 800.00 104.00  0
  4  751 420.00  0.00 800.00 52.00  0
  5  661 370.00  0.00 800.00 52.00  1
  6  661 360.00  0.00 800.00 26.00  1
  7  661 390.00  0.00 800.00 104.00  0
  8  661 390.00  0.00 800.00 104.00  0
  9  661 390.00  0.00 800.00 104.00  0
 10  661 370.00  0.00 800.00 26.00  1
 11  661 370.00  0.00 800.00 26.00  1
 12  661 390.00  0.00 800.00 26.00  1
 13  661 370.00  0.00 800.00 104.00  0
 14  661 350.00  0.00 800.00 104.00  0
 15  661 350.00  0.00 800.00 26.00  1
 16  661 370.00  0.00 800.00 26.00  1
 17  661 370.00  0.00 800.00 26.00  1
 18  661 350.00  0.00 800.00 104.00  0
 19  661 350.00  0.00 800.00 104.00  0
