Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.5405  2.7572    -8.9914 -0.4233
      1  -4.4948  2.7739    -8.9856 -0.3886
      2  -4.4150  2.8006    -8.9751 -0.3384
      3  -4.2921  2.8367    -8.9579 -0.2784
      4  -4.1385  2.8731    -8.9346 -0.2327
      5  -3.9754  2.9017    -8.9072 -0.1999
      6  -2.6991  2.6300    -8.3909 -0.1217
      7  -2.2133  2.3538    -7.7913 -0.1041
      8  -1.8322  2.0350    -6.7180 -0.0939
      9  -3.0774  2.1425    -7.8245 -0.3561
     10  -2.8458  1.9338    -7.0106 -0.3403
     11  -2.1216  1.6690    -5.6609 -0.2188
     12  -2.6746  1.5522    -6.0391 -0.7032
     13  -2.5499  1.3542    -4.9994 -0.7191
     14  -3.0723  1.3071    -5.6870 -1.5118
     15  -2.7466  1.1001    -4.4413 -1.3763
     16  -3.0228  1.0219    -4.6863 -1.8910
     17  -2.7790  0.9253    -4.0711 -1.7330
     18  -2.7394  0.8003    -3.9290 -1.7619
     19  -2.9337  0.7452    -4.1014 -2.1066

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0005  0.0017     0.0000  0.0008
      1   0.0008  0.0022     0.0000  0.0037
      2   0.0014  0.0028     0.0000  0.0053
      3   0.0022  0.0034     0.0000  0.0061
      4   0.0033  0.0037     0.0000  0.0065
      5   0.0044  0.0038     0.0000  0.0067
      6   0.0046  0.0039     0.0000  0.0069
      7   0.0057  0.0036     0.0000  0.0072
      8   0.0064  0.0032     0.0000  0.0081
      9   0.0055  0.0031     0.0000  0.0067
     10   0.0062  0.0026     0.0000  0.0067
     11   0.0064  0.0025     0.0000  0.0068
     12   0.0063  0.0026     0.0000  0.0068
     13   0.0067  0.0021     0.0001  0.0068
     14   0.0067  0.0022     0.0001  0.0068
     15   0.0069  0.0021     0.0001  0.0069
     16   0.0069  0.0021     0.0001  0.0069
     17   0.0070  0.0021     0.0001  0.0070
     18   0.0072  0.0019     0.0003  0.0070
     19   0.0072  0.0020     0.0003  0.0073

