Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.5084  1.6191    -4.9412 -0.2673
      1  -3.7948  1.0030    -5.1643 -2.6992
      2  -3.2000  0.7205    -3.9511 -2.6464
      3  -3.4769  0.5972    -4.0847 -3.1676
      4  -3.6117  0.5205    -4.1469 -3.4278
      5  -3.7566  0.5264    -4.2917 -3.5535
      6  -3.6900  0.3488    -3.9511 -3.5490
      7  -3.5823  0.7156    -4.1410 -3.2888
      8  -3.4942  0.6552    -3.9336 -3.2452
      9  -3.4483  0.5214    -3.8151 -3.2633
     10  -3.4505  0.3910    -3.7828 -3.4288
     11  -3.4498  0.2948    -3.7643 -3.4355
     12  -3.4347  0.2212    -3.6840 -3.4357
     13  -3.4378  0.1870    -3.6851 -3.4388
     14  -3.4308  0.1376    -3.6801 -3.4389
     15  -3.4295  0.0998    -3.6796 -3.4390
     16  -3.4295  0.0740    -3.6795 -3.4396
     17  -3.4294  0.0567    -3.6794 -3.4398
     18  -3.4290  0.0445    -3.6792 -3.4398
     19  -3.4290  0.0371    -3.6792 -3.4399

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0995  0.0598     0.0036  0.1896
      1   0.0987  0.0601     0.0030  0.1895
      2   0.1010  0.0596     0.0040  0.1899
      3   0.1032  0.0589     0.0058  0.1902
      4   0.1055  0.0580     0.0082  0.1905
      5   0.1035  0.0588     0.0070  0.1903
      6   0.1148  0.0550     0.0170  0.1918
      7   0.0580  0.0414     0.0001  0.1360
      8   0.0633  0.0436     0.0007  0.1452
      9   0.0705  0.0441     0.0052  0.1517
     10   0.0758  0.0430     0.0115  0.1549
     11   0.0802  0.0422     0.0169  0.1575
     12   0.0852  0.0416     0.0221  0.1609
     13   0.0902  0.0421     0.0256  0.1661
     14   0.0944  0.0414     0.0305  0.1685
     15   0.0947  0.0411     0.0314  0.1686
     16   0.0954  0.0408     0.0330  0.1689
     17   0.0956  0.0406     0.0337  0.1689
     18   0.0958  0.0405     0.0343  0.1690
     19   0.0960  0.0404     0.0347  0.1691

