Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.5207  2.7645    -8.9889 -0.4076
      1  -4.4609  2.7856    -8.9812 -0.3654
      2  -4.3617  2.8173    -8.9678 -0.3091
      3  -4.2187  2.8559    -8.9471 -0.2522
      4  -4.0537  2.8903    -8.9209 -0.2123
      5  -3.0132  2.6767    -8.5073 -0.1399
      6  -2.5371  2.4529    -8.0135 -0.1176
      7  -2.1509  2.1824    -7.1360 -0.1045
      8  -3.5059  2.1378    -7.9843 -0.4609
      9  -3.3673  2.0032    -7.5159 -0.4633
     10  -2.5011  1.8126    -6.5044 -0.2609
     11  -3.0314  1.6138    -6.5875 -0.8898
     12  -2.9044  1.4180    -5.5646 -0.9310
     13  -2.4220  1.3115    -4.4865 -0.6205
     14  -2.6746  1.1332    -4.4446 -1.2863
     15  -2.3592  1.1040    -3.8772 -0.9922
     16  -2.2965  0.9499    -3.6496 -1.0128
     17  -2.5586  0.8592    -3.8331 -1.5595
     18  -2.7715  0.8117    -4.0093 -1.8902
     19  -2.6084  0.7307    -3.6681 -1.7978

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0006  0.0020     0.0000  0.0023
      1   0.0010  0.0026     0.0000  0.0046
      2   0.0017  0.0032     0.0000  0.0058
      3   0.0027  0.0037     0.0000  0.0064
      4   0.0038  0.0039     0.0000  0.0067
      5   0.0043  0.0041     0.0000  0.0069
      6   0.0054  0.0039     0.0000  0.0080
      7   0.0063  0.0035     0.0000  0.0090
      8   0.0054  0.0033     0.0000  0.0067
      9   0.0061  0.0028     0.0000  0.0068
     10   0.0061  0.0028     0.0000  0.0068
     11   0.0062  0.0028     0.0000  0.0068
     12   0.0067  0.0023     0.0001  0.0069
     13   0.0067  0.0023     0.0001  0.0069
     14   0.0069  0.0023     0.0001  0.0070
     15   0.0069  0.0023     0.0001  0.0070
     16   0.0071  0.0020     0.0002  0.0070
     17   0.0072  0.0021     0.0003  0.0078
     18   0.0072  0.0021     0.0003  0.0079
     19   0.0074  0.0022     0.0003  0.0092

