trialNum, leftMoney, leftTime, rightMoney, rightTime
5.0, 800, 520.0, 400, 0
6.0, 800, 520.0, 200, 0
7.0, 800, 520.0, 100, 0
8.0, 800, 520.0, 50, 0
9.0, 800, 520.0, 75, 0
10.0, 800, 520.0, 87, 0
11.0, 800, 52.0, 400, 0
12.0, 800, 52.0, 200, 0
13.0, 800, 52.0, 100, 0
14.0, 800, 52.0, 50, 0
15.0, 800, 52.0, 75, 0
16.0, 800, 52.0, 87, 0
17.0, 400, 0.0, 800, 4
18.0, 200, 0.0, 800, 4
19.0, 100, 0.0, 800, 4
20.0, 50, 0.0, 800, 4
21.0, 75, 0.0, 800, 4
22.0, 87, 0.0, 800, 4
23.0, 400, 0.0, 800, 1
24.0, 600, 0.0, 800, 1
25.0, 700, 0.0, 800, 1
26.0, 750, 0.0, 800, 1
27.0, 775, 0.0, 800, 1
28.0, 787, 0.0, 800, 1
29.0, 800, 2.0, 400, 0
30.0, 800, 2.0, 600, 0
31.0, 800, 2.0, 700, 0
32.0, 800, 2.0, 750, 0
33.0, 800, 2.0, 775, 0
34.0, 800, 2.0, 787, 0
35.0, 400, 0.0, 800, 156
36.0, 200, 0.0, 800, 156
37.0, 100, 0.0, 800, 156
38.0, 50, 0.0, 800, 156
39.0, 75, 0.0, 800, 156
40.0, 87, 0.0, 800, 156
41.0, 400, 0.0, 800, 26
42.0, 200, 0.0, 800, 26
43.0, 100, 0.0, 800, 26
44.0, 50, 0.0, 800, 26
45.0, 75, 0.0, 800, 26
46.0, 87, 0.0, 800, 26
