Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7568  2.0722    -9.1275 -2.6620
      1  -4.0159  1.1226    -5.7980 -2.4846
      2  -4.9606  0.6646    -5.8873 -4.2649
      3  -4.5322  0.4859    -5.1836 -4.1430
      4  -4.8310  0.4627    -5.3700 -4.5607
      5  -4.7977  0.3417    -5.2784 -4.5733
      6  -4.7578  0.2713    -5.0612 -4.5688
      7  -4.7654  0.2021    -5.0604 -4.6046
      8  -4.7674  0.1633    -5.0600 -4.6207
      9  -4.7598  0.1353    -5.0538 -4.6205
     10  -4.7624  0.1162    -5.0537 -4.6347
     11  -4.7636  0.1060    -5.0537 -4.6419
     12  -4.7650  0.0987    -5.0536 -4.6501
     13  -4.7654  0.0954    -5.0536 -4.6530
     14  -4.7641  0.0915    -5.0524 -4.6530
     15  -4.7626  0.0887    -5.0512 -4.6519
     16  -4.7632  0.0870    -5.0512 -4.6552
     17  -4.7628  0.0861    -5.0508 -4.6552
     18  -4.7627  0.0856    -5.0506 -4.6555
     19  -4.7630  0.0849    -5.0507 -4.6571
     20  -4.7630  0.0846    -5.0506 -4.6574
     21  -4.7625  0.0851    -5.0505 -4.6551
     22  -4.7630  0.0839    -5.0505 -4.6581
     23  -4.7630  0.0838    -5.0505 -4.6582
     24  -4.7626  0.0843    -5.0504 -4.6561
     25  -4.7631  0.0834    -5.0505 -4.6587
     26  -4.7631  0.0833    -5.0505 -4.6588
     27  -4.7633  0.0829    -5.0505 -4.6600
     28  -4.7634  0.0828    -5.0505 -4.6602
     29  -4.7634  0.0828    -5.0505 -4.6605
     30  -4.7634  0.0828    -5.0505 -4.6606
     31  -4.7636  0.0825    -5.0505 -4.6614
     32  -4.7632  0.0830    -5.0505 -4.6594
     33  -4.7637  0.0820    -5.0505 -4.6620
     34  -4.7637  0.0820    -5.0505 -4.6621
     35  -4.7639  0.0816    -5.0505 -4.6633
     36  -4.7638  0.0817    -5.0505 -4.6629
     37  -4.7635  0.0821    -5.0505 -4.6610
     38  -4.7637  0.0818    -5.0505 -4.6621
     39  -4.7636  0.0819    -5.0505 -4.6617
     40  -4.7636  0.0819    -5.0505 -4.6614
     41  -4.7636  0.0819    -5.0505 -4.6616

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1017  0.0587     0.0068  0.1898
      1   0.1016  0.0588     0.0067  0.1898
      2   0.1010  0.0591     0.0057  0.1897
      3   0.1012  0.0588     0.0063  0.1897
      4   0.0968  0.0596     0.0041  0.1889
      5   0.1011  0.0578     0.0091  0.1894
      6   0.1099  0.0561     0.0141  0.1910
      7   0.1121  0.0547     0.0188  0.1912
      8   0.1132  0.0540     0.0215  0.1913
      9   0.1171  0.0524     0.0259  0.1917
     10   0.1181  0.0517     0.0282  0.1918
     11   0.1186  0.0513     0.0294  0.1918
     12   0.1191  0.0510     0.0307  0.1919
     13   0.1194  0.0508     0.0312  0.1919
     14   0.1204  0.0502     0.0332  0.1920
     15   0.1224  0.0493     0.0359  0.1922
     16   0.1226  0.0491     0.0364  0.1923
     17   0.1237  0.0485     0.0382  0.1924
     18   0.1244  0.0482     0.0394  0.1924
     19   0.1245  0.0481     0.0397  0.1924
     20   0.1250  0.0477     0.0409  0.1925
     21   0.1269  0.0471     0.0428  0.1927
     22   0.1271  0.0470     0.0433  0.1928
     23   0.1277  0.0466     0.0443  0.1928
     24   0.1293  0.0460     0.0460  0.1930
     25   0.1295  0.0459     0.0465  0.1931
     26   0.1300  0.0456     0.0474  0.1931
     27   0.1301  0.0456     0.0476  0.1931
     28   0.1304  0.0454     0.0483  0.1931
     29   0.1307  0.0452     0.0488  0.1932
     30   0.1311  0.0450     0.0496  0.1932
     31   0.1312  0.0449     0.0497  0.1932
     32   0.1324  0.0445     0.0509  0.1934
     33   0.1326  0.0444     0.0514  0.1934
     34   0.1330  0.0442     0.0520  0.1934
     35   0.1330  0.0441     0.0522  0.1934
     36   0.1337  0.0439     0.0531  0.1935
     37   0.1347  0.0435     0.0543  0.1937
     38   0.1348  0.0434     0.0545  0.1937
     39   0.1353  0.0432     0.0553  0.1937
     40   0.1358  0.0430     0.0560  0.1938
     41   0.1361  0.0428     0.0564  0.1938

