Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.2949  1.9957    -6.4909 -0.3499
      1  -4.9561  1.0979    -6.6791 -3.5247
      2  -4.1008  0.7179    -5.0042 -3.4417
      3  -3.6926  0.6076    -4.3503 -3.2598
      4  -3.9791  0.5895    -4.5537 -3.7054
      5  -3.9548  0.4463    -4.4434 -3.7212
      6  -3.9693  0.3284    -4.4329 -3.7774
      7  -3.9716  0.2600    -4.4260 -3.8006
      8  -3.8148  0.4227    -4.3002 -3.6885
      9  -3.9507  0.4637    -4.4545 -3.7250
     10  -3.9244  0.3502    -4.3568 -3.7291
     11  -3.9256  0.2736    -4.3411 -3.7410
     12  -3.9159  0.2168    -4.2775 -3.7420
     13  -3.9169  0.1831    -4.2707 -3.7468
     14  -3.9124  0.1590    -4.2231 -3.7469
     15  -3.9133  0.1464    -4.2198 -3.7496
     16  -3.9145  0.1385    -4.2169 -3.7524
     17  -3.9114  0.1311    -4.2132 -3.7519
     18  -3.9073  0.1250    -4.2095 -3.7509
     19  -3.9055  0.1219    -4.2078 -3.7505
     20  -3.9046  0.1203    -4.2070 -3.7504
     21  -3.9037  0.1190    -4.2061 -3.7503
     22  -3.9029  0.1179    -4.2053 -3.7501
     23  -3.9014  0.1164    -4.2040 -3.7497
     24  -3.9024  0.1152    -4.2040 -3.7513
     25  -3.9030  0.1145    -4.2041 -3.7523
     26  -3.9025  0.1140    -4.2036 -3.7521
     27  -3.9022  0.1136    -4.2033 -3.7521
     28  -3.9018  0.1132    -4.2030 -3.7520
     29  -3.9015  0.1130    -4.2028 -3.7519
     30  -3.9028  0.1117    -4.2029 -3.7539
     31  -3.9035  0.1110    -4.2029 -3.7549
     32  -3.9040  0.1105    -4.2029 -3.7557
     33  -3.9044  0.1100    -4.2030 -3.7564
     34  -3.9035  0.1095    -4.2023 -3.7559
     35  -3.9027  0.1090    -4.2018 -3.7554
     36  -3.9034  0.1084    -4.2018 -3.7565
     37  -3.9033  0.1083    -4.2017 -3.7564
     38  -3.9032  0.1082    -4.2016 -3.7563
     39  -3.9035  0.1078    -4.2016 -3.7569
     40  -3.9038  0.1076    -4.2016 -3.7573
     41  -3.9032  0.1073    -4.2013 -3.7568

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1011  0.0591     0.0055  0.1898
      1   0.1011  0.0592     0.0053  0.1898
      2   0.1004  0.0593     0.0048  0.1897
      3   0.1001  0.0595     0.0045  0.1896
      4   0.0955  0.0598     0.0029  0.1886
      5   0.0990  0.0583     0.0076  0.1890
      6   0.1030  0.0565     0.0130  0.1895
      7   0.1050  0.0555     0.0162  0.1897
      8   0.0636  0.0422     0.0069  0.1450
      9   0.0541  0.0375     0.0044  0.1252
     10   0.0574  0.0371     0.0081  0.1278
     11   0.0589  0.0368     0.0100  0.1288
     12   0.0606  0.0365     0.0123  0.1299
     13   0.0612  0.0363     0.0137  0.1303
     14   0.0622  0.0361     0.0149  0.1309
     15   0.0626  0.0360     0.0154  0.1312
     16   0.0631  0.0359     0.0160  0.1316
     17   0.0640  0.0357     0.0169  0.1322
     18   0.0653  0.0356     0.0182  0.1333
     19   0.0660  0.0355     0.0191  0.1339
     20   0.0664  0.0354     0.0198  0.1342
     21   0.0669  0.0353     0.0206  0.1345
     22   0.0673  0.0353     0.0211  0.1348
     23   0.0681  0.0352     0.0217  0.1355
     24   0.0684  0.0351     0.0221  0.1357
     25   0.0685  0.0351     0.0223  0.1358
     26   0.0689  0.0350     0.0226  0.1360
     27   0.0691  0.0350     0.0229  0.1362
     28   0.0694  0.0350     0.0232  0.1364
     29   0.0696  0.0349     0.0235  0.1365
     30   0.0700  0.0349     0.0239  0.1367
     31   0.0701  0.0348     0.0241  0.1368
     32   0.0703  0.0348     0.0243  0.1369
     33   0.0704  0.0348     0.0245  0.1370
     34   0.0710  0.0347     0.0251  0.1374
     35   0.0715  0.0347     0.0256  0.1379
     36   0.0717  0.0346     0.0259  0.1380
     37   0.0719  0.0346     0.0262  0.1381
     38   0.0720  0.0346     0.0264  0.1382
     39   0.0721  0.0346     0.0266  0.1383
     40   0.0722  0.0345     0.0267  0.1383
     41   0.0726  0.0345     0.0273  0.1388

