Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.0787  1.4962    -7.5935 -5.2832
      1  -5.9229  1.0743    -7.1056 -4.6173
      2  -5.2991  1.0694    -6.2077 -3.0598
      3  -4.8015  1.3044    -5.7738 -1.5770
      4  -3.8555  1.7491    -5.6933 -0.5840
      5  -2.6002  1.7466    -5.4539 -0.2789
      6  -3.4722  1.3908    -5.6008 -1.2680
      7  -2.8920  1.4392    -5.4891 -0.8212
      8  -3.1471  1.1815    -5.0177 -1.6716
      9  -2.8274  1.1673    -4.5654 -1.3836
     10  -2.9149  0.9525    -4.2220 -1.9188
     11  -2.7301  0.8652    -3.7750 -1.8219
     12  -2.8023  0.7151    -3.7205 -2.1364
     13  -2.8695  0.6113    -3.7321 -2.3437
     14  -2.7526  0.5446    -3.4780 -2.2609
     15  -2.6846  0.4670    -3.3448 -2.2323
     16  -2.7904  0.4404    -3.4016 -2.4113
     17  -2.7492  0.3739    -3.3293 -2.4049
     18  -2.7905  0.3216    -3.3447 -2.4838
     19  -2.7086  0.3208    -3.1983 -2.4213

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0987  0.0603     0.0024  0.1895
      1   0.0961  0.0612     0.0012  0.1892
      2   0.0926  0.0625     0.0003  0.1888
      3   0.0797  0.0639     0.0001  0.1865
      4   0.0291  0.0349     0.0001  0.1037
      5   0.0105  0.0074     0.0000  0.0209
      6   0.0116  0.0084     0.0000  0.0247
      7   0.0098  0.0068     0.0000  0.0196
      8   0.0110  0.0073     0.0001  0.0212
      9   0.0110  0.0073     0.0001  0.0215
     10   0.0122  0.0076     0.0001  0.0236
     11   0.0131  0.0079     0.0002  0.0251
     12   0.0142  0.0081     0.0005  0.0264
     13   0.0152  0.0084     0.0008  0.0274
     14   0.0163  0.0087     0.0010  0.0292
     15   0.0173  0.0089     0.0014  0.0309
     16   0.0177  0.0091     0.0015  0.0317
     17   0.0188  0.0092     0.0020  0.0328
     18   0.0200  0.0094     0.0026  0.0339
     19   0.0195  0.0091     0.0025  0.0331

