Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.1267  1.8651    -9.1651 -3.3570
      1  -7.7662  0.9898    -5.1422 -6.5147
      2  -8.4520  0.6890    -2.7684 -7.7951
      3  -8.7857  0.5896    -1.5576 -8.2964
      4  -8.5755  0.6052    -4.8972 -8.1203
      5  -8.6227  0.4786    -4.9074 -8.2398
      6  -8.6489  0.3922    -4.9509 -8.3349
      7  -8.7748  0.3555    -3.2138 -8.4993
      8  -8.7094  0.3097    -7.0092 -8.4683
      9  -8.6660  0.2888    -9.1922 -8.4411
     10  -8.7050  0.2398    -9.1997 -8.5651
     11  -8.6410  0.3816    -8.3153 -8.4099
     12  -8.5182  0.6429    -6.0511 -8.1276
     13  -8.5759  0.5156    -5.9761 -8.2646
     14  -8.5625  0.4283    -8.8093 -8.2873
     15  -8.6523  0.4312    -5.7902 -8.4004
     16  -8.6183  0.4100    -7.9172 -8.3924
     17  -8.6001  0.3607    -9.1884 -8.3930
     18  -8.6403  0.3076    -9.1963 -8.4232
     19  -8.6474  0.2594    -9.1905 -8.4315
     20  -8.6547  0.2281    -9.1839 -8.4429
     21  -8.6883  0.2056    -9.1971 -8.4997
     22  -8.6675  0.1792    -9.1499 -8.4907
     23  -8.6806  0.1617    -9.1525 -8.5469
     24  -8.6622  0.1509    -9.1061 -8.5152
     25  -8.6657  0.1392    -9.0982 -8.5425
     26  -8.6508  0.1313    -9.0312 -8.5119
     27  -8.6671  0.1153    -9.0491 -8.6385
     28  -8.6594  0.1037    -8.9716 -8.6250
     29  -8.6536  0.0947    -8.9313 -8.6135
     30  -8.6592  0.0848    -8.9313 -8.6609
     31  -8.6551  0.0776    -8.9279 -8.6604
     32  -8.6557  0.0744    -8.9276 -8.6615
     33  -8.6558  0.0732    -8.9274 -8.6617
     34  -8.6558  0.0725    -8.9273 -8.6619
     35  -8.6560  0.0710    -8.9271 -8.6623
     36  -8.6520  0.0647    -8.9240 -8.6614
     37  -8.6578  0.0524    -8.9245 -8.6672
     38  -8.6594  0.0476    -8.9245 -8.6688
     39  -8.6594  0.0472    -8.9245 -8.6688
     40  -8.6572  0.0411    -8.9226 -8.6685
     41  -8.6572  0.0409    -8.9226 -8.6686

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1016  0.0587     0.0067  0.1898
      1   0.1015  0.0588     0.0064  0.1898
      2   0.1035  0.0582     0.0081  0.1901
      3   0.1060  0.0574     0.0098  0.1904
      4   0.0984  0.0580     0.0072  0.1887
      5   0.1043  0.0558     0.0136  0.1895
      6   0.1087  0.0539     0.0197  0.1901
      7   0.1102  0.0536     0.0214  0.1905
      8   0.1177  0.0533     0.0249  0.1924
      9   0.1217  0.0530     0.0269  0.1932
     10   0.1289  0.0510     0.0335  0.1942
     11   0.0947  0.0516     0.0157  0.1824
     12   0.0548  0.0369     0.0038  0.1235
     13   0.0597  0.0370     0.0079  0.1281
     14   0.0646  0.0372     0.0110  0.1328
     15   0.0629  0.0370     0.0107  0.1315
     16   0.0660  0.0381     0.0117  0.1367
     17   0.0713  0.0392     0.0145  0.1436
     18   0.0766  0.0401     0.0176  0.1501
     19   0.0787  0.0395     0.0209  0.1512
     20   0.0823  0.0394     0.0238  0.1542
     21   0.0864  0.0405     0.0258  0.1599
     22   0.0914  0.0403     0.0296  0.1636
     23   0.0953  0.0404     0.0325  0.1668
     24   0.0988  0.0407     0.0348  0.1701
     25   0.1023  0.0404     0.0377  0.1722
     26   0.1054  0.0405     0.0401  0.1750
     27   0.1098  0.0407     0.0428  0.1782
     28   0.1141  0.0402     0.0470  0.1806
     29   0.1181  0.0397     0.0509  0.1826
     30   0.1210  0.0391     0.0542  0.1838
     31   0.1245  0.0384     0.0580  0.1853
     32   0.1257  0.0379     0.0601  0.1856
     33   0.1261  0.0377     0.0611  0.1857
     34   0.1263  0.0376     0.0617  0.1857
     35   0.1268  0.0373     0.0628  0.1859
     36   0.1297  0.0366     0.0661  0.1870
     37   0.1328  0.0361     0.0694  0.1884
     38   0.1346  0.0356     0.0716  0.1889
     39   0.1347  0.0355     0.0719  0.1889
     40   0.1371  0.0349     0.0752  0.1897
     41   0.1372  0.0348     0.0755  0.1897

