trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1174 660.00  0.00 800.00  3.00  1
  1  647 360.00  0.00 800.00 520.00  0
  2  608 340.00  0.00 800.00 104.00  0
  3  822 460.00  0.00 800.00 26.00  0
  4  695 390.00  0.00 800.00 21.50  0
  5  765 430.00  0.00 800.00 12.90  1
  6  695 380.00  0.00 800.00 17.20  0
  7  658 370.00  0.00 800.00 17.20  0
  8  783 440.00  0.00 800.00 12.90  0
  9  712 400.00  0.00 800.00 17.20  0
 10  692 390.00  0.00 800.00 10.80  1
 11  692 400.00  0.00 800.00 12.90  1
 12  783 440.00  0.00 800.00 12.90  0
 13  694 390.00  0.00 800.00 17.20  1
 14  694 400.00  0.00 800.00 21.50  0
 15  694 400.00  0.00 800.00 21.50  0
 16  694 410.00  0.00 800.00 12.90  0
 17  585 330.00  0.00 800.00 12.90  1
 18  712 400.00  0.00 800.00 17.20  0
 19  656 370.00  0.00 800.00 10.80  1
 20  674 380.00  0.00 800.00 10.80  1
 21  712 400.00  0.00 800.00 17.20  0
 22  801 450.00  0.00 800.00 12.90  0
 23  692 390.00  0.00 800.00 10.80  1
 24  801 460.00  0.00 800.00 10.80  1
 25  712 400.00  0.00 800.00 17.20  0
 26  801 430.00  0.00 800.00 10.80  1
 27  801 430.00  0.00 800.00 17.20  0
 28  801 430.00  0.00 800.00 10.80  1
 29  801 430.00  0.00 800.00 17.20  0
 30  801 440.00  0.00 800.00 17.20  0
 31  801 430.00  0.00 800.00 10.80  1
 32  694 390.00  0.00 800.00 17.20  0
 33  694 410.00  0.00 800.00 12.90  1
 34  801 450.00  0.00 800.00 12.90  1
 35  694 400.00  0.00 800.00 12.90  0
 36  712 400.00  0.00 800.00 17.20  0
 37  819 460.00  0.00 800.00 12.90  0
 38  819 460.00  0.00 800.00 10.80  1
 39  819 480.00  0.00 800.00 17.20  0
 40  819 480.00  0.00 800.00 17.20  0
 41  712 400.00  0.00 800.00 17.20  0
