trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1310 730.00  0.00 800.00 104.00  0
  1  822 460.00  0.00 800.00 26.00  0
  2  654 370.00  0.00 800.00  6.44  1
  3  693 390.00  0.00 800.00 12.90  0
  4  655 370.00  0.00 800.00  8.60  0
  5  779 440.00  0.00 800.00  4.30  1
  6  762 430.00  0.00 800.00  6.44  1
  7  744 420.00  0.00 800.00  6.44  1
  8  710 400.00  0.00 800.00 10.80  0
  9  726 410.00  0.00 800.00  6.44  1
 10  692 390.00  0.00 800.00 10.80  1
 11  783 440.00  0.00 800.00 12.90  0
 12  763 430.00  0.00 800.00  8.60  0
 13  781 440.00  0.00 800.00  8.60  1
 14  837 470.00  0.00 800.00 12.90  1
 15 1421 790.00  0.00 800.00 520.00  0
 16 1421 790.00  0.00 800.00 260.00  0
 17 1421 790.00  0.00 800.00 260.00  0
 18  874 490.00  0.00 800.00 17.20  0
 19  945 530.00  0.00 800.00 12.90  0
