trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1143 640.00  0.00 800.00 12.90  0
  1  655 370.00  0.00 800.00  8.60  0
  2  652 370.00  0.00 800.00  3.00  0
  3  597 340.00  0.00 800.00  2.00  0
  4  758 430.00  0.00 800.00  1.00  1
  5  615 350.00  0.00 800.00  2.00  1
  6  597 340.00  0.00 800.00  2.00  1
  7  759 430.00  0.00 800.00  2.00  1
  8 1418 790.00  0.00 800.00 104.00  0
  9 1417 790.00  0.00 800.00 52.00  0
 10  796 450.00  0.00 800.00  3.00  0
 11  742 420.00  0.00 800.00  3.00  0
 12  849 480.00  0.00 800.00  2.00  1
 13  922 520.00  0.00 800.00  3.00  0
 14  453 260.00  0.00 800.00  2.00  1
 15  489 280.00  0.00 800.00  2.00  1
 16  796 450.00  0.00 800.00  3.00  0
 17  579 330.00  0.00 800.00  2.00  1
 18  670 380.00  0.00 800.00  3.00  0
 19  724 410.00  0.00 800.00  3.00  0
