Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7570  2.0721    -9.1275 -2.6622
      1  -4.1473  1.1828    -6.0568 -2.4985
      2  -5.0898  0.6939    -6.1468 -4.2810
      3  -4.6582  0.4942    -5.3368 -4.2391
      4  -4.3697  0.4144    -4.8930 -4.0429
      5  -4.2147  0.3981    -4.6891 -3.8967
      6  -4.2644  0.2753    -4.6905 -4.2385
      7  -4.2669  0.2086    -4.6826 -4.2434
      8  -4.2592  0.1625    -4.6580 -4.2438
      9  -4.5051  0.5821    -5.1380 -4.0784
     10  -4.3976  0.7156    -5.2057 -3.8318
     11  -4.3878  0.5601    -5.0083 -4.0115
     12  -4.3866  0.4446    -4.9554 -4.1042
     13  -4.3146  0.4026    -4.7789 -4.0588
     14  -4.2898  0.3189    -4.7564 -4.0663
     15  -4.2989  0.2581    -4.7547 -4.1476
     16  -4.3025  0.2153    -4.7531 -4.2219
     17  -4.2916  0.1834    -4.7411 -4.2231
     18  -4.2827  0.1619    -4.7303 -4.2231
     19  -4.2890  0.1477    -4.7321 -4.2415
     20  -4.2811  0.1361    -4.7218 -4.2413
     21  -4.3821  0.2292    -4.7797 -4.2430
     22  -4.4329  0.2155    -4.7874 -4.2634
     23  -4.4640  0.1908    -4.8085 -4.2860
     24  -4.4653  0.1698    -4.8001 -4.2904
     25  -4.4853  0.1501    -4.8260 -4.3178
     26  -4.5231  0.1577    -4.9517 -4.3959
     27  -4.5950  0.2369    -5.0494 -4.4952
     28  -4.7040  0.3488    -5.2683 -4.5211
     29  -4.8751  0.5869    -5.5957 -4.5267
     30  -4.8486  0.4674    -5.5357 -4.5343
     31  -5.0355  0.7067    -5.9537 -4.5443
     32  -4.9987  0.5611    -5.7641 -4.5669
     33  -4.9783  0.4596    -5.6827 -4.5789
     34  -5.1086  0.5710    -5.8703 -4.6403
     35  -5.0890  0.4699    -5.8253 -4.6631
     36  -5.0784  0.4046    -5.8013 -4.6752
     37  -5.1787  0.4468    -5.8853 -4.7967
     38  -5.1707  0.3926    -5.8729 -4.8005
     39  -5.2574  0.4125    -5.9907 -4.8457
     40  -5.3340  0.4227    -6.0848 -4.9060
     41  -5.3287  0.3809    -6.0697 -4.9123

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1017  0.0587     0.0068  0.1898
      1   0.1019  0.0586     0.0073  0.1898
      2   0.1017  0.0587     0.0069  0.1898
      3   0.1026  0.0584     0.0079  0.1899
      4   0.1023  0.0586     0.0074  0.1899
      5   0.1006  0.0588     0.0067  0.1896
      6   0.1115  0.0554     0.0150  0.1911
      7   0.1143  0.0538     0.0209  0.1914
      8   0.1160  0.0526     0.0248  0.1915
      9   0.0313  0.0221     0.0004  0.0698
     10   0.0242  0.0172     0.0001  0.0534
     11   0.0265  0.0171     0.0006  0.0549
     12   0.0285  0.0170     0.0022  0.0569
     13   0.0304  0.0177     0.0029  0.0603
     14   0.0321  0.0176     0.0050  0.0615
     15   0.0338  0.0175     0.0073  0.0631
     16   0.0349  0.0174     0.0083  0.0641
     17   0.0360  0.0173     0.0094  0.0651
     18   0.0370  0.0172     0.0104  0.0660
     19   0.0381  0.0171     0.0117  0.0670
     20   0.0391  0.0171     0.0132  0.0678
     21   0.0234  0.0096     0.0062  0.0379
     22   0.0240  0.0099     0.0067  0.0390
     23   0.0250  0.0102     0.0073  0.0403
     24   0.0254  0.0101     0.0076  0.0405
     25   0.0264  0.0103     0.0080  0.0414
     26   0.0246  0.0098     0.0074  0.0393
     27   0.0189  0.0077     0.0030  0.0296
     28   0.0145  0.0062     0.0011  0.0224
     29   0.0099  0.0048     0.0001  0.0153
     30   0.0102  0.0046     0.0004  0.0154
     31   0.0074  0.0033     0.0001  0.0116
     32   0.0077  0.0031     0.0001  0.0117
     33   0.0079  0.0029     0.0003  0.0118
     34   0.0070  0.0022     0.0001  0.0070
     35   0.0072  0.0019     0.0003  0.0071
     36   0.0073  0.0018     0.0004  0.0072
     37   0.0070  0.0014     0.0003  0.0068
     38   0.0071  0.0012     0.0004  0.0068
     39   0.0070  0.0011     0.0004  0.0067
     40   0.0069  0.0010     0.0003  0.0067
     41   0.0070  0.0009     0.0004  0.0067

