Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7578  2.0719    -9.1276 -2.6629
      1  -4.0162  1.1219    -5.7976 -2.4850
      2  -3.0637  0.6929    -3.9453 -2.3866
      3  -2.6651  0.5784    -3.2657 -2.3453
      4  -2.5019  0.4947    -2.9089 -2.3302
      5  -2.3803  0.4748    -2.7681 -2.3181
      6  -2.3510  0.3423    -2.7178 -2.3178
      7  -2.3355  0.2474    -2.6822 -2.3176
      8  -2.3134  0.1906    -2.5685 -2.3166
      9  -2.3083  0.1350    -2.5671 -2.3165
     10  -2.3052  0.0979    -2.5657 -2.3164
     11  -2.3038  0.0694    -2.5654 -2.3164
     12  -2.3037  0.0688    -2.5652 -2.3164
     13  -2.3101  0.1824    -2.5659 -2.3164
     14  -2.3445  0.4287    -2.5699 -2.3167
     15  -2.3251  0.3139    -2.5678 -2.3165
     16  -2.3146  0.2296    -2.5666 -2.3165
     17  -2.3091  0.1691    -2.5659 -2.3164
     18  -2.3061  0.1246    -2.5655 -2.3164
     19  -2.3045  0.0915    -2.5653 -2.3164
     20  -2.3036  0.0670    -2.5652 -2.3164
     21  -2.3031  0.0491    -2.5651 -2.3164
     22  -2.3029  0.0363    -2.5651 -2.3164
     23  -2.3027  0.0266    -2.5651 -2.3164
     24  -2.3027  0.0189    -2.5651 -2.3164
     25  -2.3031  0.0454    -2.5652 -2.3164
     26  -2.3052  0.1056    -2.5654 -2.3164
     27  -2.3172  0.2544    -2.5665 -2.3165
     28  -2.3104  0.1860    -2.5659 -2.3164
     29  -2.3068  0.1352    -2.5655 -2.3164
     30  -2.3048  0.0990    -2.5653 -2.3164
     31  -2.3038  0.0724    -2.5652 -2.3164
     32  -2.3032  0.0529    -2.5652 -2.3164
     33  -2.3030  0.0397    -2.5651 -2.3164
     34  -2.3028  0.0291    -2.5651 -2.3164
     35  -2.3027  0.0214    -2.5651 -2.3164
     36  -2.3027  0.0159    -2.5651 -2.3164
     37  -2.3026  0.0116    -2.5651 -2.3164
     38  -2.3026  0.0085    -2.5651 -2.3164
     39  -2.3026  0.0062    -2.5651 -2.3164
     40  -2.3026  0.0045    -2.5651 -2.3164
     41  -2.3026  0.0033    -2.5651 -2.3164

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1018  0.0587     0.0070  0.1898
      1   0.1017  0.0587     0.0069  0.1898
      2   0.1023  0.0586     0.0073  0.1899
      3   0.1028  0.0582     0.0084  0.1899
      4   0.1068  0.0569     0.0121  0.1905
      5   0.1072  0.0561     0.0140  0.1904
      6   0.1104  0.0543     0.0197  0.1907
      7   0.1126  0.0531     0.0238  0.1909
      8   0.1218  0.0513     0.0301  0.1926
      9   0.1235  0.0501     0.0340  0.1927
     10   0.1281  0.0481     0.0401  0.1932
     11   0.1303  0.0468     0.0443  0.1934
     12   0.1302  0.0468     0.0443  0.1934
     13   0.0833  0.0421     0.0222  0.1616
     14   0.0475  0.0253     0.0100  0.0913
     15   0.0496  0.0250     0.0128  0.0930
     16   0.0514  0.0248     0.0149  0.0945
     17   0.0534  0.0248     0.0166  0.0961
     18   0.0552  0.0247     0.0184  0.0979
     19   0.0570  0.0247     0.0206  0.0998
     20   0.0588  0.0247     0.0219  0.1015
     21   0.0605  0.0247     0.0233  0.1030
     22   0.0622  0.0248     0.0248  0.1048
     23   0.0639  0.0248     0.0266  0.1067
     24   0.0649  0.0247     0.0279  0.1075
     25   0.0489  0.0175     0.0208  0.0772
     26   0.0378  0.0134     0.0147  0.0587
     27   0.0286  0.0106     0.0088  0.0442
     28   0.0293  0.0104     0.0096  0.0448
     29   0.0299  0.0103     0.0104  0.0452
     30   0.0305  0.0102     0.0113  0.0457
     31   0.0312  0.0101     0.0124  0.0462
     32   0.0317  0.0101     0.0137  0.0466
     33   0.0323  0.0100     0.0142  0.0470
     34   0.0329  0.0100     0.0146  0.0474
     35   0.0334  0.0099     0.0149  0.0477
     36   0.0340  0.0099     0.0153  0.0480
     37   0.0345  0.0099     0.0157  0.0483
     38   0.0350  0.0099     0.0162  0.0490
     39   0.0355  0.0098     0.0167  0.0497
     40   0.0358  0.0098     0.0170  0.0500
     41   0.0363  0.0098     0.0176  0.0506

