trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  916 510.00  0.00 800.00 260.00  0
  1  694 390.00  0.00 800.00 17.20  0
  2  742 420.00  0.00 800.00  3.00  0
  3  597 340.00  0.00 800.00  2.00  1
  4  705 400.00  0.00 800.00  2.00  0
  5  597 350.00  0.00 800.00  3.00  0
  6  597 320.00  0.00 800.00  3.00  0
  7  597 340.00  0.00 800.00  3.00  0
  8  597 360.00  0.00 800.00  3.00  0
  9  597 350.00  0.00 800.00  1.00  0
 10 1414 790.00  0.00 800.00 17.20  0
 11  867 490.00  0.00 800.00  2.00  0
 12  741 420.00  0.00 800.00  2.00  0
 13  902 510.00  0.00 800.00  1.00  0
 14  920 520.00  0.00 800.00  1.00  0
 15  776 440.00  0.00 800.00  1.00  0
 16  866 490.00  0.00 800.00  1.00  0
 17  848 480.00  0.00 800.00  1.00  0
 18  830 470.00  0.00 800.00  1.00  0
 19  812 460.00  0.00 800.00  1.00  0
