Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7570  2.0721    -9.1275 -2.6622
      1  -4.1462  1.1812    -6.0551 -2.4985
      2  -3.1967  0.7231    -4.2124 -2.4010
      3  -2.7765  0.5495    -3.4041 -2.3584
      4  -3.0348  0.4751    -3.5670 -2.7507
      5  -3.1916  0.4534    -3.6698 -2.9849
      6  -3.1352  0.3316    -3.4055 -2.9755
      7  -3.1490  0.2514    -3.4049 -3.1384
      8  -3.1397  0.1822    -3.4029 -3.1386
      9  -3.1389  0.1387    -3.4024 -3.1406
     10  -3.1304  0.1001    -3.3962 -3.1404
     11  -3.1305  0.0773    -3.3960 -3.1413
     12  -3.1333  0.0566    -3.3960 -3.1445
     13  -3.1314  0.0399    -3.3946 -3.1444
     14  -3.1320  0.0295    -3.3945 -3.1451
     15  -3.1321  0.0228    -3.3945 -3.1453
     16  -3.1391  0.0722    -3.4004 -3.1455
     17  -3.1342  0.0482    -3.3963 -3.1453
     18  -3.1324  0.0331    -3.3948 -3.1452
     19  -3.1317  0.0235    -3.3943 -3.1452
     20  -3.1317  0.0183    -3.3942 -3.1453
     21  -3.1317  0.0142    -3.3942 -3.1453
     22  -3.1314  0.0314    -3.3943 -3.1447
     23  -3.1317  0.0236    -3.3943 -3.1451
     24  -3.1317  0.0183    -3.3943 -3.1452
     25  -3.1316  0.0134    -3.3941 -3.1452
     26  -3.1315  0.0103    -3.3941 -3.1452
     27  -3.1310  0.0234    -3.3941 -3.1447
     28  -3.1270  0.0585    -3.3940 -3.1405
     29  -3.1293  0.0431    -3.3941 -3.1428
     30  -3.1159  0.1044    -3.3937 -3.0774
     31  -3.1228  0.0796    -3.3940 -3.1356
     32  -3.1279  0.0601    -3.3942 -3.1410
     33  -3.1283  0.0484    -3.3942 -3.1416
     34  -3.1133  0.1061    -3.3938 -3.0439
     35  -3.1203  0.0833    -3.3941 -3.1328
     36  -3.1047  0.1138    -3.3932 -2.9876
     37  -3.0541  0.1781    -3.3898 -2.8999
     38  -2.9921  0.2085    -3.3813 -2.8788
     39  -2.9407  0.2041    -3.3641 -2.8717
     40  -2.9095  0.1776    -3.3381 -2.8693
     41  -2.8920  0.1470    -3.3059 -2.8685

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1020  0.0586     0.0073  0.1899
      1   0.1022  0.0584     0.0078  0.1899
      2   0.1024  0.0583     0.0082  0.1899
      3   0.1037  0.0578     0.0098  0.1901
      4   0.1028  0.0582     0.0090  0.1900
      5   0.1028  0.0585     0.0083  0.1901
      6   0.1127  0.0556     0.0153  0.1914
      7   0.1208  0.0526     0.0235  0.1925
      8   0.1220  0.0516     0.0271  0.1925
      9   0.1234  0.0505     0.0310  0.1926
     10   0.1286  0.0480     0.0396  0.1932
     11   0.1293  0.0474     0.0418  0.1933
     12   0.1331  0.0455     0.0485  0.1937
     13   0.1364  0.0437     0.0546  0.1940
     14   0.1394  0.0422     0.0598  0.1943
     15   0.1409  0.0412     0.0632  0.1945
     16   0.1013  0.0421     0.0338  0.1746
     17   0.1046  0.0410     0.0391  0.1760
     18   0.1078  0.0403     0.0433  0.1775
     19   0.1108  0.0397     0.0468  0.1789
     20   0.1135  0.0392     0.0498  0.1802
     21   0.1135  0.0392     0.0499  0.1802
     22   0.0855  0.0324     0.0352  0.1420
     23   0.0877  0.0322     0.0375  0.1438
     24   0.0897  0.0320     0.0398  0.1454
     25   0.0915  0.0318     0.0421  0.1471
     26   0.0936  0.0317     0.0439  0.1489
     27   0.0740  0.0253     0.0335  0.1159
     28   0.0568  0.0202     0.0227  0.0889
     29   0.0581  0.0199     0.0246  0.0897
     30   0.0439  0.0163     0.0156  0.0690
     31   0.0455  0.0160     0.0173  0.0703
     32   0.0472  0.0160     0.0195  0.0722
     33   0.0475  0.0158     0.0203  0.0723
     34   0.0372  0.0132     0.0141  0.0574
     35   0.0385  0.0131     0.0150  0.0585
     36   0.0352  0.0123     0.0134  0.0538
     37   0.0292  0.0106     0.0093  0.0450
     38   0.0268  0.0098     0.0082  0.0408
     39   0.0266  0.0099     0.0081  0.0408
     40   0.0275  0.0101     0.0085  0.0419
     41   0.0285  0.0102     0.0091  0.0435

