  0 1231 690.00  0.00 800.00  8.60  1
  1  881 490.00  0.00 800.00 520.00  0
  2  664 370.00  0.00 800.00 260.00  0
  3  698 390.00  0.00 800.00 104.00  0
  4  608 340.00  0.00 800.00 104.00  0
  5  751 420.00  0.00 800.00 52.00  0
  6  661 370.00  0.00 800.00 52.00  0
  7  750 420.00  0.00 800.00 26.00  0
  8  729 410.00  0.00 800.00 12.90  1
  9  659 370.00  0.00 800.00 21.50  0
 10  584 330.00  0.00 800.00 10.80  1
 11  585 330.00  0.00 800.00 12.90  1
 12  658 370.00  0.00 800.00 17.20  0
 13  494 280.00  0.00 800.00 10.80  1
 14  567 320.00  0.00 800.00 12.90  1
 15  857 480.00  0.00 800.00 21.50  0
 16  603 340.00  0.00 800.00 12.90  0
 17  458 260.00  0.00 800.00 10.80  1
 18  494 280.00  0.00 800.00 10.80  1
 19  892 500.00  0.00 800.00 17.20  0
