Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.2619  2.3659    -9.0662 -1.7131
      1  -7.1762  1.3322    -7.4436 -5.3969
      2  -8.0864  0.9048    -4.1862 -7.1496
      3  -7.4796  0.7177    -8.4320 -7.0025
      4  -7.1872  0.6345    -7.8426 -6.8592
      5  -7.3545  0.6038    -7.9815 -7.1478
      6  -7.3165  0.4670    -7.7315 -7.1514
      7  -6.4578  1.8081    -8.5701 -1.9513
      8  -6.7149  1.4679    -8.4811 -3.3613
      9  -6.8754  1.1818    -8.4182 -5.2776
     10  -6.2328  1.5059    -8.1422 -2.7849
     11  -6.3823  1.2387    -8.0263 -4.4136
     12  -6.4693  1.0422    -7.9515 -5.1137
     13  -6.6849  0.9163    -8.0848 -5.6823
     14  -6.2695  1.0366    -7.6190 -5.0285
     15  -6.3262  0.8718    -7.5772 -5.3130
     16  -6.0055  0.9229    -7.2190 -4.8657
     17  -6.0420  0.7927    -7.1738 -5.0469
     18  -6.1880  0.6927    -7.2494 -5.3846
     19  -6.3138  0.6352    -7.3278 -5.6089

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1014  0.0589     0.0063  0.1898
      1   0.1017  0.0588     0.0065  0.1898
      2   0.1027  0.0583     0.0080  0.1900
      3   0.1003  0.0593     0.0061  0.1897
      4   0.1016  0.0592     0.0057  0.1899
      5   0.1024  0.0585     0.0067  0.1899
      6   0.1128  0.0560     0.0129  0.1916
      7   0.0127  0.0126     0.0000  0.0341
      8   0.0144  0.0125     0.0000  0.0357
      9   0.0155  0.0123     0.0001  0.0367
     10   0.0083  0.0060     0.0000  0.0168
     11   0.0091  0.0057     0.0001  0.0174
     12   0.0095  0.0055     0.0001  0.0176
     13   0.0104  0.0059     0.0002  0.0191
     14   0.0082  0.0042     0.0001  0.0132
     15   0.0085  0.0040     0.0002  0.0133
     16   0.0076  0.0032     0.0001  0.0117
     17   0.0078  0.0030     0.0003  0.0118
     18   0.0082  0.0032     0.0003  0.0124
     19   0.0085  0.0035     0.0004  0.0128

