Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.0818  1.4353    -7.1647 -2.3475
      1  -2.9539  1.5622    -7.4275 -2.3220
      2  -2.6957  1.2748    -6.1935 -2.3188
      3  -2.5189  0.9704    -3.6312 -2.3175
      4  -2.4156  0.7106    -2.5758 -2.3170
      5  -2.3599  0.5067    -2.5709 -2.3167
      6  -2.3324  0.3680    -2.5678 -2.3165
      7  -2.3196  0.2799    -2.5665 -2.3165
      8  -2.3114  0.2009    -2.5658 -2.3164
      9  -2.3073  0.1472    -2.5655 -2.3164
     10  -2.3050  0.1066    -2.5653 -2.3164
     11  -2.3039  0.0770    -2.5652 -2.3164
     12  -2.3033  0.0553    -2.5651 -2.3164
     13  -2.3029  0.0400    -2.5651 -2.3164
     14  -2.3053  0.1120    -2.5653 -2.3164
     15  -2.3040  0.0814    -2.5652 -2.3164
     16  -2.3120  0.2086    -2.5658 -2.3164
     17  -2.3076  0.1523    -2.5655 -2.3164
     18  -2.3356  0.3890    -2.5677 -2.3165
     19  -2.3197  0.2805    -2.5664 -2.3165
     20  -2.3116  0.2037    -2.5658 -2.3164
     21  -2.3074  0.1480    -2.5655 -2.3164
     22  -2.3075  0.1500    -2.5655 -2.3164
     23  -2.3050  0.1054    -2.5653 -2.3164
     24  -2.3040  0.0792    -2.5652 -2.3164
     25  -2.3033  0.0578    -2.5651 -2.3164
     26  -2.3070  0.1415    -2.5654 -2.3164
     27  -2.3332  0.3737    -2.5676 -2.3165
     28  -2.3185  0.2698    -2.5664 -2.3165
     29  -2.3110  0.1964    -2.5658 -2.3164
     30  -2.3071  0.1428    -2.5655 -2.3164
     31  -2.3050  0.1038    -2.5653 -2.3164
     32  -2.3039  0.0778    -2.5652 -2.3164
     33  -2.3033  0.0570    -2.5651 -2.3164
     34  -2.3030  0.0419    -2.5651 -2.3164
     35  -2.3028  0.0315    -2.5651 -2.3164
     36  -2.3027  0.0232    -2.5651 -2.3164
     37  -2.3026  0.0169    -2.5651 -2.3164
     38  -2.3026  0.0123    -2.5651 -2.3164
     39  -2.3028  0.0284    -2.5651 -2.3164
     40  -2.3027  0.0208    -2.5651 -2.3164
     41  -2.3026  0.0160    -2.5651 -2.3164

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0881  0.0652     0.0000  0.1886
      1   0.0846  0.0653     0.0000  0.1876
      2   0.1007  0.0626     0.0000  0.1903
      3   0.1116  0.0579     0.0001  0.1914
      4   0.1180  0.0538     0.0174  0.1920
      5   0.1206  0.0516     0.0286  0.1922
      6   0.1253  0.0490     0.0373  0.1927
      7   0.1308  0.0470     0.0446  0.1935
      8   0.1340  0.0451     0.0504  0.1938
      9   0.1373  0.0435     0.0559  0.1942
     10   0.1400  0.0421     0.0607  0.1945
     11   0.1427  0.0407     0.0652  0.1948
     12   0.1450  0.0395     0.0694  0.1950
     13   0.1473  0.0383     0.0732  0.1953
     14   0.1176  0.0412     0.0490  0.1846
     15   0.1202  0.0405     0.0522  0.1855
     16   0.0882  0.0348     0.0342  0.1489
     17   0.0907  0.0344     0.0369  0.1508
     18   0.0644  0.0264     0.0220  0.1077
     19   0.0660  0.0258     0.0246  0.1086
     20   0.0677  0.0254     0.0274  0.1097
     21   0.0693  0.0252     0.0292  0.1110
     22   0.0694  0.0252     0.0292  0.1111
     23   0.0699  0.0249     0.0301  0.1114
     24   0.0715  0.0248     0.0318  0.1129
     25   0.0729  0.0247     0.0337  0.1141
     26   0.0568  0.0194     0.0243  0.0880
     27   0.0427  0.0158     0.0152  0.0669
     28   0.0436  0.0154     0.0167  0.0674
     29   0.0446  0.0152     0.0181  0.0680
     30   0.0456  0.0150     0.0197  0.0685
     31   0.0465  0.0148     0.0210  0.0691
     32   0.0473  0.0147     0.0218  0.0700
     33   0.0481  0.0146     0.0225  0.0709
     34   0.0490  0.0146     0.0233  0.0717
     35   0.0498  0.0145     0.0242  0.0725
     36   0.0504  0.0144     0.0250  0.0729
     37   0.0511  0.0144     0.0260  0.0736
     38   0.0519  0.0144     0.0272  0.0742
     39   0.0444  0.0123     0.0221  0.0625
     40   0.0450  0.0123     0.0226  0.0632
     41   0.0459  0.0123     0.0233  0.0644

