Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.1246  1.5245    -7.7785 -2.4690
      1  -3.1082  0.8335    -3.9859 -2.3868
      2  -2.7160  0.7530    -3.3547 -2.3458
      3  -2.5472  0.6610    -3.0066 -2.3308
      4  -2.4242  0.6502    -2.8045 -2.3183
      5  -2.5619  1.0388    -4.4002 -2.3182
      6  -2.4447  0.7792    -2.7357 -2.3173
      7  -2.3791  0.5772    -2.5743 -2.3169
      8  -2.3435  0.4257    -2.5697 -2.3166
      9  -2.3245  0.3133    -2.5674 -2.3165
     10  -2.3138  0.2245    -2.5662 -2.3165
     11  -2.3086  0.1645    -2.5657 -2.3164
     12  -2.3058  0.1204    -2.5654 -2.3164
     13  -2.3043  0.0892    -2.5653 -2.3164
     14  -2.3035  0.0651    -2.5652 -2.3164
     15  -2.3031  0.0476    -2.5651 -2.3164
     16  -2.3056  0.1178    -2.5653 -2.3164
     17  -2.3042  0.0868    -2.5652 -2.3164
     18  -2.3035  0.0634    -2.5652 -2.3164
     19  -2.3031  0.0463    -2.5651 -2.3164
     20  -2.3051  0.1062    -2.5653 -2.3164
     21  -2.3039  0.0773    -2.5652 -2.3164
     22  -2.3033  0.0563    -2.5651 -2.3164
     23  -2.3066  0.1347    -2.5654 -2.3164
     24  -2.3047  0.0981    -2.5653 -2.3164
     25  -2.3037  0.0714    -2.5652 -2.3164
     26  -2.3092  0.1717    -2.5656 -2.3164
     27  -2.3061  0.1252    -2.5654 -2.3164
     28  -2.3044  0.0908    -2.5652 -2.3164
     29  -2.3036  0.0660    -2.5652 -2.3164
     30  -2.3031  0.0482    -2.5651 -2.3164
     31  -2.3030  0.0410    -2.5651 -2.3164
     32  -2.3028  0.0301    -2.5651 -2.3164
     33  -2.3038  0.0724    -2.5652 -2.3164
     34  -2.3032  0.0526    -2.5651 -2.3164
     35  -2.3029  0.0383    -2.5651 -2.3164
     36  -2.3045  0.0914    -2.5653 -2.3164
     37  -2.3036  0.0664    -2.5652 -2.3164
     38  -2.3031  0.0483    -2.5651 -2.3164
     39  -2.3029  0.0352    -2.5651 -2.3164
     40  -2.3027  0.0259    -2.5651 -2.3164
     41  -2.3036  0.0649    -2.5652 -2.3164

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0945  0.0603     0.0024  0.1886
      1   0.1012  0.0594     0.0036  0.1898
      2   0.1013  0.0591     0.0043  0.1898
      3   0.1050  0.0578     0.0085  0.1903
      4   0.1056  0.0571     0.0098  0.1902
      5   0.0736  0.0522     0.0001  0.1700
      6   0.0803  0.0507     0.0038  0.1725
      7   0.0861  0.0493     0.0123  0.1747
      8   0.0913  0.0481     0.0186  0.1767
      9   0.0960  0.0470     0.0239  0.1785
     10   0.0986  0.0461     0.0280  0.1793
     11   0.1026  0.0453     0.0319  0.1809
     12   0.1062  0.0446     0.0358  0.1822
     13   0.1097  0.0439     0.0393  0.1835
     14   0.1131  0.0432     0.0429  0.1847
     15   0.1163  0.0425     0.0463  0.1857
     16   0.0819  0.0345     0.0300  0.1436
     17   0.0844  0.0343     0.0326  0.1458
     18   0.0869  0.0342     0.0352  0.1481
     19   0.0893  0.0341     0.0373  0.1502
     20   0.0662  0.0253     0.0264  0.1088
     21   0.0679  0.0252     0.0284  0.1100
     22   0.0695  0.0251     0.0299  0.1116
     23   0.0526  0.0191     0.0211  0.0831
     24   0.0539  0.0190     0.0223  0.0843
     25   0.0551  0.0188     0.0235  0.0854
     26   0.0425  0.0151     0.0160  0.0660
     27   0.0435  0.0149     0.0172  0.0667
     28   0.0443  0.0148     0.0184  0.0672
     29   0.0452  0.0146     0.0199  0.0678
     30   0.0461  0.0146     0.0211  0.0684
     31   0.0472  0.0147     0.0216  0.0698
     32   0.0480  0.0147     0.0224  0.0707
     33   0.0391  0.0123     0.0165  0.0575
     34   0.0398  0.0122     0.0174  0.0581
     35   0.0405  0.0121     0.0183  0.0587
     36   0.0332  0.0103     0.0142  0.0478
     37   0.0338  0.0102     0.0147  0.0481
     38   0.0344  0.0101     0.0152  0.0484
     39   0.0349  0.0101     0.0156  0.0491
     40   0.0355  0.0100     0.0161  0.0497
     41   0.0295  0.0087     0.0126  0.0411

