Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.7775  2.0439    -7.2467 -0.1385
      1  -2.8760  2.2018    -8.2363 -1.3306
      2  -1.7505  1.0668    -2.8246 -1.2121
      3  -1.5322  1.1548    -3.0485 -0.9609
      4  -1.7172  1.9188    -7.0923 -0.3335
      5  -1.5902  1.6077    -6.0649 -0.6609
      6  -1.8377  1.7239    -6.7425 -0.8843
      7  -1.5760  1.3234    -4.5214 -0.9099
      8  -1.5716  1.1591    -3.2893 -1.1024
      9  -1.4373  0.8784    -1.8420 -1.1082
     10  -1.4132  0.6969    -1.7901 -1.2129
     11  -1.7635  1.3180    -4.8221 -1.2105
     12  -1.5953  1.0068    -2.3457 -1.2309
     13  -1.8627  1.3137    -4.9556 -1.3105
     14  -1.7115  0.9868    -2.5860 -1.3271
     15  -1.6110  0.7567    -2.1087 -1.3288
     16  -1.5490  0.5835    -2.0128 -1.3297
     17  -1.5937  0.5350    -2.0427 -1.3570
     18  -1.6734  0.6121    -2.1072 -1.4097
     19  -1.6308  0.4635    -2.0663 -1.4112

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0881  0.0626     0.0001  0.1878
      1   0.0760  0.0628     0.0001  0.1851
      2   0.1022  0.0609     0.0001  0.1904
      3   0.0953  0.0622     0.0001  0.1893
      4   0.0343  0.0362     0.0000  0.1058
      5   0.0429  0.0383     0.0000  0.1159
      6   0.0391  0.0359     0.0000  0.1061
      7   0.0428  0.0354     0.0001  0.1087
      8   0.0495  0.0378     0.0001  0.1190
      9   0.0550  0.0373     0.0013  0.1230
     10   0.0609  0.0375     0.0054  0.1288
     11   0.0283  0.0207     0.0000  0.0633
     12   0.0312  0.0202     0.0001  0.0654
     13   0.0218  0.0151     0.0000  0.0461
     14   0.0230  0.0146     0.0001  0.0466
     15   0.0250  0.0143     0.0012  0.0477
     16   0.0267  0.0142     0.0027  0.0491
     17   0.0278  0.0145     0.0034  0.0511
     18   0.0254  0.0137     0.0022  0.0473
     19   0.0268  0.0135     0.0039  0.0481

