Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6213  2.7260    -9.0014 -0.4955
      1  -2.1830  1.3948    -4.3388 -0.2421
      2  -1.1514  0.9192    -2.3407 -0.1332
      3  -1.6572  0.6905    -2.4141 -1.0898
      4  -1.9184  0.5776    -2.5469 -1.5919
      5  -2.2118  0.6208    -2.9013 -1.9161
      6  -2.6562  1.0306    -4.6127 -2.0742
      7  -2.4085  0.7302    -3.1768 -2.0417
      8  -2.4937  0.6735    -3.2962 -2.1695
      9  -2.4007  0.5059    -2.8418 -2.1636
     10  -2.4194  0.4121    -2.8358 -2.2941
     11  -2.9746  1.2422    -5.8562 -2.1619
     12  -2.7983  0.9862    -4.1513 -2.1917
     13  -2.6850  0.7769    -3.5059 -2.2063
     14  -3.0875  1.2451    -6.0692 -2.1815
     15  -4.6377  2.6852    -8.9990 -0.5455
     16  -4.5978  2.6618    -8.9865 -0.5656
     17  -4.7355  2.7091    -9.0247 -0.5430
     18  -4.7760  2.7079    -9.0334 -0.5539
     19  -4.8161  2.7039    -9.0411 -0.5670

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1019  0.0586     0.0070  0.1899
      1   0.1023  0.0585     0.0073  0.1899
      2   0.1028  0.0582     0.0084  0.1899
      3   0.1025  0.0584     0.0080  0.1899
      4   0.1030  0.0581     0.0086  0.1899
      5   0.0962  0.0596     0.0050  0.1888
      6   0.0419  0.0385     0.0001  0.1192
      7   0.0515  0.0400     0.0015  0.1294
      8   0.0550  0.0423     0.0020  0.1376
      9   0.0632  0.0427     0.0053  0.1448
     10   0.0702  0.0437     0.0079  0.1519
     11   0.0145  0.0112     0.0000  0.0328
     12   0.0165  0.0112     0.0001  0.0342
     13   0.0181  0.0112     0.0003  0.0359
     14   0.0101  0.0067     0.0000  0.0193
     15   0.0003  0.0012     0.0000  0.0001
     16   0.0005  0.0016     0.0000  0.0011
     17   0.0001  0.0002     0.0000  0.0001
     18   0.0001  0.0003     0.0000  0.0001
     19   0.0001  0.0004     0.0000  0.0001

