Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.2545  1.2622    -6.8649 -5.5111
      1  -8.1657  0.8379    -3.7279 -7.2977
      2  -7.5591  0.6710    -8.5642 -7.0560
      3  -7.8329  0.6865    -8.8843 -7.4282
      4  -7.8865  0.5537    -8.8500 -7.5952
      5  -7.9109  0.4531    -8.8076 -7.6324
      6  -7.9349  0.3886    -8.7829 -7.6951
      7  -7.9386  0.3431    -8.7480 -7.7110
      8  -7.9389  0.3155    -8.7158 -7.7213
      9  -7.9477  0.2951    -8.6934 -7.8107
     10  -7.9476  0.2813    -8.6598 -7.8309
     11  -7.9470  0.2714    -8.6432 -7.8336
     12  -7.9450  0.2647    -8.6292 -7.8345
     13  -7.9441  0.2586    -8.6161 -7.8364
     14  -7.9426  0.2555    -8.6076 -7.8365
     15  -7.9412  0.2529    -8.5997 -7.8365
     16  -7.9405  0.2487    -8.5891 -7.8380
     17  -7.8944  0.3145    -8.7263 -7.6245
     18  -7.7115  0.2270    -8.2193 -7.5779
     19  -7.7096  0.2224    -8.2063 -7.5778
     20  -7.7069  0.2167    -8.1843 -7.5777
     21  -7.7051  0.2132    -8.1712 -7.5777
     22  -7.7029  0.2091    -8.1535 -7.5776
     23  -7.7009  0.2051    -8.1345 -7.5775
     24  -7.6991  0.2016    -8.1163 -7.5774
     25  -7.6978  0.1990    -8.1050 -7.5774
     26  -7.6967  0.1971    -8.1042 -7.5773
     27  -7.6953  0.1946    -8.1031 -7.5772
     28  -7.6945  0.1930    -8.1024 -7.5772
     29  -7.6936  0.1915    -8.1018 -7.5771
     30  -7.6925  0.1894    -8.1008 -7.5771
     31  -7.6919  0.1884    -8.1004 -7.5770
     32  -7.6909  0.1866    -8.0996 -7.5770
     33  -7.6900  0.1847    -8.0987 -7.5769
     34  -7.6893  0.1834    -8.0981 -7.5769
     35  -7.6888  0.1826    -8.0978 -7.5769
     36  -7.6883  0.1816    -8.0973 -7.5768
     37  -7.6879  0.1809    -8.0970 -7.5768
     38  -7.6874  0.1800    -8.0967 -7.5768
     39  -7.6871  0.1793    -8.0964 -7.5768
     40  -7.6866  0.1785    -8.0960 -7.5767
     41  -7.7241  0.2444    -8.3157 -7.5781

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1005  0.0595     0.0043  0.1898
      1   0.1017  0.0590     0.0056  0.1899
      2   0.0977  0.0604     0.0028  0.1893
      3   0.0918  0.0602     0.0019  0.1877
      4   0.1003  0.0585     0.0073  0.1892
      5   0.1059  0.0565     0.0128  0.1900
      6   0.1116  0.0551     0.0175  0.1910
      7   0.1138  0.0539     0.0212  0.1913
      8   0.1155  0.0529     0.0240  0.1914
      9   0.1192  0.0519     0.0274  0.1920
     10   0.1216  0.0509     0.0303  0.1923
     11   0.1237  0.0500     0.0330  0.1926
     12   0.1250  0.0493     0.0352  0.1927
     13   0.1267  0.0486     0.0373  0.1929
     14   0.1272  0.0483     0.0385  0.1930
     15   0.1276  0.0480     0.0395  0.1930
     16   0.1289  0.0474     0.0415  0.1932
     17   0.0972  0.0467     0.0247  0.1789
     18   0.1124  0.0480     0.0324  0.1881
     19   0.1128  0.0477     0.0335  0.1881
     20   0.1141  0.0473     0.0354  0.1884
     21   0.1146  0.0470     0.0363  0.1885
     22   0.1154  0.0467     0.0377  0.1886
     23   0.1165  0.0463     0.0393  0.1888
     24   0.1175  0.0460     0.0409  0.1891
     25   0.1179  0.0458     0.0417  0.1891
     26   0.1182  0.0456     0.0423  0.1892
     27   0.1188  0.0454     0.0432  0.1893
     28   0.1190  0.0453     0.0437  0.1893
     29   0.1193  0.0451     0.0442  0.1893
     30   0.1198  0.0449     0.0450  0.1894
     31   0.1199  0.0448     0.0453  0.1895
     32   0.1204  0.0446     0.0461  0.1896
     33   0.1211  0.0444     0.0472  0.1897
     34   0.1214  0.0443     0.0478  0.1898
     35   0.1215  0.0442     0.0481  0.1898
     36   0.1217  0.0441     0.0484  0.1898
     37   0.1218  0.0440     0.0487  0.1898
     38   0.1220  0.0440     0.0489  0.1898
     39   0.1221  0.0439     0.0491  0.1899
     40   0.1222  0.0438     0.0494  0.1899
     41   0.0821  0.0357     0.0295  0.1467

