Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.8019  1.3481    -3.5925 -0.1919
      1  -2.6847  0.9896    -3.7596 -1.8681
      2  -3.0961  0.8909    -4.1280 -2.5839
      3  -3.4306  0.9788    -5.3061 -2.9603
      4  -3.8207  1.2739    -7.2594 -3.1828
      5  -4.9904  1.9163    -8.8393 -2.9503
      6  -6.2096  1.9701    -9.1605 -2.7996
      7  -5.3077  1.6376    -8.3690 -2.6454
      8  -4.7533  2.6858    -9.0101 -0.5376
      9  -4.7902  2.6573    -9.0047 -0.5630
     10  -4.8401  2.6100    -8.9923 -0.6017
     11  -4.9099  2.5317    -8.9672 -0.6667
     12  -5.0045  2.4084    -8.9212 -0.7827
     13  -5.1205  2.2331    -8.8438 -0.9959
     14  -5.2371  2.0224    -8.7276 -1.3809
     15  -5.3393  1.8081    -8.5862 -2.0744
     16  -5.4139  1.6277    -8.4460 -2.9698
     17  -4.8751  2.6325    -9.0201 -0.6282
     18  -4.9150  2.5919    -9.0102 -0.6658
     19  -4.8440  2.6721    -9.0328 -0.6019

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0985  0.0603     0.0013  0.1895
      1   0.0974  0.0607     0.0008  0.1893
      2   0.0971  0.0607     0.0010  0.1892
      3   0.0917  0.0616     0.0001  0.1881
      4   0.0733  0.0614     0.0001  0.1825
      5   0.0143  0.0157     0.0000  0.0430
      6   0.0070  0.0046     0.0000  0.0126
      7   0.0075  0.0052     0.0000  0.0135
      8   0.0003  0.0011     0.0000  0.0001
      9   0.0005  0.0015     0.0000  0.0002
     10   0.0007  0.0020     0.0000  0.0033
     11   0.0012  0.0026     0.0000  0.0049
     12   0.0020  0.0031     0.0000  0.0058
     13   0.0030  0.0034     0.0000  0.0062
     14   0.0041  0.0034     0.0000  0.0064
     15   0.0051  0.0031     0.0000  0.0065
     16   0.0059  0.0025     0.0000  0.0066
     17   0.0004  0.0014     0.0000  0.0001
     18   0.0006  0.0018     0.0000  0.0026
     19   0.0001  0.0002     0.0000  0.0001

