Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.8509  2.0779    -8.9035 -2.4800
      1  -6.6134  1.5336    -9.2015 -4.5956
      2  -5.2863  0.8009    -6.4646 -4.5012
      3  -5.7685  0.6412    -6.6930 -5.1994
      4  -5.4801  0.5280    -6.1311 -5.0908
      5  -5.3134  0.5016    -5.8380 -4.9165
      6  -5.0894  0.8177    -6.2401 -3.9872
      7  -5.1655  0.6292    -5.8674 -4.6800
      8  -5.3083  0.6751    -6.1681 -4.8298
      9  -5.3667  0.5917    -6.0930 -5.0770
     10  -5.3258  0.4578    -5.8034 -5.0936
     11  -5.3020  0.3610    -5.6163 -5.1012
     12  -5.2006  0.8564    -6.9368 -4.2959
     13  -5.1638  0.6678    -5.8893 -4.5825
     14  -5.1669  0.5211    -5.7671 -4.8097
     15  -5.1784  0.4159    -5.7029 -4.8955
     16  -5.1098  0.7681    -6.2671 -4.4686
     17  -5.0756  0.6031    -5.8187 -4.5757
     18  -5.0563  0.4845    -5.7131 -4.6193
     19  -4.9578  0.7866    -6.0920 -4.2064
     20  -5.6626  2.0289    -9.0931 -2.6699
     21  -5.6320  1.9976    -9.0776 -2.6852
     22  -5.6993  2.0637    -9.1098 -2.6543
     23  -5.6719  2.0611    -9.1016 -2.6491
     24  -5.7015  2.0625    -9.1093 -2.6554
     25  -5.7294  2.0624    -9.1161 -2.6622
     26  -5.7572  2.0619    -9.1226 -2.6693
     27  -5.7299  2.0604    -9.1150 -2.6633
     28  -5.7030  2.0618    -9.1091 -2.6559
     29  -5.6760  2.0629    -9.1029 -2.6487
     30  -5.6489  2.0638    -9.0966 -2.6417
     31  -5.6222  2.0613    -9.0884 -2.6365
     32  -5.5948  2.0602    -9.0809 -2.6306
     33  -5.5670  2.0589    -9.0730 -2.6247
     34  -5.5391  2.0573    -9.0649 -2.6190
     35  -5.5665  2.0607    -9.0741 -2.6238
     36  -5.5393  2.0605    -9.0671 -2.6174
     37  -5.5123  2.0569    -9.0577 -2.6128
     38  -5.4854  2.0531    -9.0480 -2.6083
     39  -5.5067  2.0512    -9.0529 -2.6148
     40  -5.4801  2.0469    -9.0431 -2.6105
     41  -5.5090  2.0500    -9.0524 -2.6158

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0953  0.0591     0.0028  0.1880
      1   0.0833  0.0572     0.0017  0.1822
      2   0.0879  0.0589     0.0012  0.1853
      3   0.0840  0.0575     0.0012  0.1826
      4   0.0865  0.0575     0.0017  0.1836
      5   0.0875  0.0581     0.0017  0.1846
      6   0.0379  0.0348     0.0000  0.1051
      7   0.0453  0.0360     0.0001  0.1134
      8   0.0388  0.0305     0.0001  0.0941
      9   0.0433  0.0322     0.0001  0.1016
     10   0.0483  0.0321     0.0016  0.1058
     11   0.0527  0.0322     0.0059  0.1099
     12   0.0197  0.0150     0.0000  0.0441
     13   0.0212  0.0145     0.0001  0.0449
     14   0.0230  0.0142     0.0003  0.0461
     15   0.0248  0.0141     0.0016  0.0474
     16   0.0139  0.0091     0.0000  0.0270
     17   0.0147  0.0087     0.0001  0.0272
     18   0.0151  0.0085     0.0005  0.0273
     19   0.0094  0.0056     0.0000  0.0172
     20   0.0004  0.0014     0.0000  0.0001
     21   0.0007  0.0019     0.0000  0.0027
     22   0.0001  0.0002     0.0000  0.0001
     23   0.0001  0.0003     0.0000  0.0001
     24   0.0001  0.0001     0.0000  0.0001
     25   0.0001  0.0001     0.0000  0.0001
     26   0.0001  0.0000     0.0000  0.0001
     27   0.0001  0.0001     0.0000  0.0001
     28   0.0001  0.0001     0.0000  0.0001
     29   0.0001  0.0001     0.0000  0.0001
     30   0.0001  0.0001     0.0000  0.0001
     31   0.0001  0.0001     0.0000  0.0001
     32   0.0001  0.0001     0.0000  0.0001
     33   0.0001  0.0001     0.0000  0.0001
     34   0.0001  0.0001     0.0000  0.0001
     35   0.0001  0.0001     0.0000  0.0001
     36   0.0001  0.0001     0.0000  0.0001
     37   0.0001  0.0001     0.0000  0.0001
     38   0.0001  0.0001     0.0000  0.0001
     39   0.0001  0.0002     0.0000  0.0001
     40   0.0001  0.0003     0.0000  0.0001
     41   0.0001  0.0001     0.0000  0.0001

